nom,tier,score,statut,date_contact,canal,date_relance,notes,produit,montant_vendu,date_vente,paye,montant_encaisse,commission,statut_livraison,type,libelle,commune,cp,departement,region,telephone,email,email_status,dirigeant,qualite,raisons,lien_site,lien_pappers,lien_annuaire,lien_annonces,lien_finances,lien_dirigeants,lien_maps,lien_google,lien_google_news,lien_linkedin_rech,lien_linkedin_dirigeant,lien_pagesjaunes,lien_societe,lien_trustpilot,linkedin,domain,effectif,annee_effectif,categorie,nb_etablissements_ouverts,nb_etablissements,communes_etablissements,ca,ca_prev,resultat_net,annee_finances,anciennete,date_creation,nature_juridique,sigle,nom_commercial,employeur,entrepreneur_individuel,diffusion_protegee,labels,idcc,tva_intra,etat,signaux_bodacc,siren,siret,naf,adresse,latitude,longitude,email_source,email_perso,autres_emails,autres_dirigeants,a_site,web_fait,date_enrichi,source,ville
PREMIER MONDE,A,78,a contacter,,,,,,,,,,,,comptabilite,Activites comptables,VILLEURBANNE,69100,69,Auvergne-Rhone-Alpes,04 72 69 78 00,support@ovh.com,mx_ok,PHILIPPE JEAN BONNEPART,Directeur Général,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://premiermonde.fr,https://www.pappers.fr/entreprise/513859470,https://annuaire-entreprises.data.gouv.fr/entreprise/513859470,https://annuaire-entreprises.data.gouv.fr/annonces/513859470,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/513859470,https://annuaire-entreprises.data.gouv.fr/dirigeants/513859470,"https://www.google.com/maps?q=45.7777884785231,4.86007751789969",https://www.google.com/search?q=PREMIER+MONDE+VILLEURBANNE,https://news.google.com/search?hl=fr&q=%22PREMIER+MONDE%22,https://www.linkedin.com/search/results/companies/?keywords=PREMIER+MONDE,https://www.linkedin.com/search/results/people/?keywords=PHILIPPE+JEAN+BONNEPART+PREMIER+MONDE,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=PREMIER+MONDE&ou=VILLEURBANNE,https://www.societe.com/cgi-bin/search?champs=513859470,https://fr.trustpilot.com/review/premiermonde.fr,,premiermonde.fr,50-99,2023,PME,5,5,,7992328,,178819,2023,17,2009-07-08,SAS,,PREMIER MONDE - CAP CONSEIL - MEUNIER ET ASSOCIES - PM AUDIT,,non,non,,0787,FR05513859470,active,,513859470,51385947000017,69.20Z,20 RUE LOUIS GUERIN 69100 VILLEURBANNE,45.7777884785231,4.86007751789969,site-generique,non,a.gilles@dissidentia.fr,PHILIPPE CHRISTIAN MAURICE JACQUEMET (Président de SAS); FRANCK ROSSI (Directeur Général); BRUNO JEAN RUSCON (Directeur Général); PATRICK MICHEL LOUIS VELAY (Directeur Général),oui,oui,2026-08-01,sirene,VILLEURBANNE
SPHERIO,A,78,a contacter,,,,,,,,,,,,comptabilite,Activites comptables,LE HAVRE,76600,76,Normandie,02 35 19 32 42,contact@spherio.com,mx_ok,MARILYNE MARCELLE MADELEINE MORIN (BAZIRE),Directeur Général,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|dirigeant+5|labels+5,https://spherio.com,https://www.pappers.fr/entreprise/320280506,https://annuaire-entreprises.data.gouv.fr/entreprise/320280506,https://annuaire-entreprises.data.gouv.fr/annonces/320280506,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/320280506,https://annuaire-entreprises.data.gouv.fr/dirigeants/320280506,"https://www.google.com/maps?q=49.4882669642453,0.115099030029897",https://www.google.com/search?q=SPHERIO+LE+HAVRE,https://news.google.com/search?hl=fr&q=%22SPHERIO%22,https://www.linkedin.com/search/results/companies/?keywords=SPHERIO,https://www.linkedin.com/search/results/people/?keywords=MARILYNE+MARCELLE+MADELEINE+MORIN+%28BAZIRE%29+SPHERIO,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=SPHERIO&ou=LE+HAVRE,https://www.societe.com/cgi-bin/search?champs=320280506,https://fr.trustpilot.com/review/spherio.com,https://www.linkedin.com/company/d-autant-plus-expertise,spherio.com,20-49,2023,PME,5,18,,3783564,,66240,2024,46,1980-09-01,SAS,,,,non,non,Organisme de formation,0787,FR76320280506,active,,320280506,32028050600140,69.20Z,29 QUAI CASIMIR DELAVIGNE 76600 LE HAVRE,49.4882669642453,0.115099030029897,site-generique,non,contact@bperc.com; contact@paie-servicesrh.fr; lebureau@massat-group.com,FABRICE CARRIE (Commissaire aux comptes titulaire); AUDIT COMPTA EXPERT PARTNERS (Président de SAS); DHP EXPERTISES (Commissaire aux comptes suppléant),oui,oui,2026-08-04,sirene,LE HAVRE
CLA EXPERTISE,A,78,a contacter,,,,,,,,,,,,comptabilite,Activites comptables,GRANS,13450,13,Provence-Alpes-Cote d'Azur,04 42 11 57 38,contact@claexpertise.fr,mx_ok,OLIVIA REINE HENRIETTE DINA GUADAGNO (GUADAGNO),Gérant,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://claexpertise.fr,https://www.pappers.fr/entreprise/793454877,https://annuaire-entreprises.data.gouv.fr/entreprise/793454877,https://annuaire-entreprises.data.gouv.fr/annonces/793454877,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/793454877,https://annuaire-entreprises.data.gouv.fr/dirigeants/793454877,"https://www.google.com/maps?q=43.606852283,5.0643363912",https://www.google.com/search?q=CLA+EXPERTISE+GRANS,https://news.google.com/search?hl=fr&q=%22CLA+EXPERTISE%22,https://www.linkedin.com/search/results/companies/?keywords=CLA+EXPERTISE,https://www.linkedin.com/search/results/people/?keywords=OLIVIA+REINE+HENRIETTE+DINA+GUADAGNO+%28GUADAGNO%29+CLA+EXPERTISE,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=CLA+EXPERTISE&ou=GRANS,https://www.societe.com/cgi-bin/search?champs=793454877,https://fr.trustpilot.com/review/claexpertise.fr,https://www.linkedin.com/company/cla-expertise,claexpertise.fr,3-5,2023,PME,2,3,,571145,,1032,2022,13,2013-06-04,SARL,,,,non,non,,0787,FR66793454877,active,,793454877,79345487700028,69.20Z,86 COURS CAMILLE PELLETAN 13450 GRANS,43.606852283,5.0643363912,site-generique,non,,FANNY CLEMENTINE IMBERT (LARGUIER) (Gérant),oui,oui,2026-08-13,sirene,GRANS
EXPERA CONSEILS,A,78,a contacter,,,,,,,,,,,,comptabilite,Activites comptables,SAINT-MAXIMIN-LA-SAINTE-BAUME,83470,83,Provence-Alpes-Cote d'Azur,04 98 05 90 00,contact@experaconseils.fr,mx_ok,AXEL FREDERIC GASET VEINARD (GASET),Gérant,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://experaconseils.net,https://www.pappers.fr/entreprise/519821201,https://annuaire-entreprises.data.gouv.fr/entreprise/519821201,https://annuaire-entreprises.data.gouv.fr/annonces/519821201,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/519821201,https://annuaire-entreprises.data.gouv.fr/dirigeants/519821201,"https://www.google.com/maps?q=43.476220188592,5.87115869016751",https://www.google.com/search?q=EXPERA+CONSEILS+SAINT-MAXIMIN-LA-SAINTE-BAUME,https://news.google.com/search?hl=fr&q=%22EXPERA+CONSEILS%22,https://www.linkedin.com/search/results/companies/?keywords=EXPERA+CONSEILS,https://www.linkedin.com/search/results/people/?keywords=AXEL+FREDERIC+GASET+VEINARD+%28GASET%29+EXPERA+CONSEILS,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=EXPERA+CONSEILS&ou=SAINT-MAXIMIN-LA-SAINTE-BAUME,https://www.societe.com/cgi-bin/search?champs=519821201,https://fr.trustpilot.com/review/experaconseils.net,,experaconseils.net,20-49,2023,PME,2,3,,2694610,,264128,2025,16,2010-01-11,SARL,EXPERA CONSEILS,,,non,non,,0787,FR47519821201,active,,519821201,51982120100018,69.20Z,ZONE D'ACTIVITE DE LA LAOUVE NUMERO 21 ROUTE DE BARJOLS 83470 SAINT-MAXIMIN-LA-SAINTE-BAUME,43.476220188592,5.87115869016751,site-generique,non,contact@inumedia.fr; skerzo@skerzo.fr,,oui,oui,2026-08-13,sirene,SAINT-MAXIMIN-LA-SAINTE-BAUME
AUGEEXCO,A,73,a contacter,,,,,,,,,,,,comptabilite,Activites comptables,TOULON,83000,83,Provence-Alpes-Cote d'Azur,04 94 46 50 46,contact@augeexco.fr,mx_ok,GEOFFREY VENTURINI,Gérant,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|dirigeant+5,https://augeexco.fr,https://www.pappers.fr/entreprise/327323846,https://annuaire-entreprises.data.gouv.fr/entreprise/327323846,https://annuaire-entreprises.data.gouv.fr/annonces/327323846,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/327323846,https://annuaire-entreprises.data.gouv.fr/dirigeants/327323846,"https://www.google.com/maps?q=43.113632403,5.9499661972",https://www.google.com/search?q=AUGEEXCO+TOULON,https://news.google.com/search?hl=fr&q=%22AUGEEXCO%22,https://www.linkedin.com/search/results/companies/?keywords=AUGEEXCO,https://www.linkedin.com/search/results/people/?keywords=GEOFFREY+VENTURINI+AUGEEXCO,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=AUGEEXCO&ou=TOULON,https://www.societe.com/cgi-bin/search?champs=327323846,https://fr.trustpilot.com/review/augeexco.fr,,augeexco.fr,3-5,2023,PME,4,7,,326489,,18741,2017,43,1983-05-02,SARL,,,,non,non,,0787,FR04327323846,active,,327323846,32732384600060,69.20Z,LE MARINO 90 AVENUE CLAUDE FARRERE 83000 TOULON,43.113632403,5.9499661972,site-generique,non,,MICHEL VENTURINI (Gérant),oui,oui,2026-08-04,sirene,TOULON
A.M.P. CONSEILS,A,73,a contacter,,,,,,,,,,,,comptabilite,Activites comptables,MARSEILLE,13002,13,Provence-Alpes-Cote d'Azur,06 10 31 84 50,contact@ampconseils.fr,mx_ok,MOHAMED LAQHILA,Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|dirigeant+5,https://ampconseils.fr,https://www.pappers.fr/entreprise/384753828,https://annuaire-entreprises.data.gouv.fr/entreprise/384753828,https://annuaire-entreprises.data.gouv.fr/annonces/384753828,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/384753828,https://annuaire-entreprises.data.gouv.fr/dirigeants/384753828,"https://www.google.com/maps?q=43.30336019,5.3676134643",https://www.google.com/search?q=A.M.P.+CONSEILS+MARSEILLE,https://news.google.com/search?hl=fr&q=%22A.M.P.+CONSEILS%22,https://www.linkedin.com/search/results/companies/?keywords=A.M.P.+CONSEILS,https://www.linkedin.com/search/results/people/?keywords=MOHAMED+LAQHILA+A.M.P.+CONSEILS,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=A.M.P.+CONSEILS&ou=MARSEILLE,https://www.societe.com/cgi-bin/search?champs=384753828,https://fr.trustpilot.com/review/ampconseils.fr,,ampconseils.fr,6-9,2023,PME,2,11,,924084,,3147,2020,34,1992-02-01,SAS,,,,non,non,,0787,FR05384753828,active,,384753828,38475382800050,69.20Z,115 RUE DE L'EVECHE 13002 MARSEILLE,43.30336019,5.3676134643,site-generique,non,,,oui,oui,2026-08-13,sirene,MARSEILLE
CABINET BOULON,A,73,a contacter,,,,,,,,,,,,comptabilite,Activites comptables,BOURG-EN-BRESSE,01000,01,Auvergne-Rhone-Alpes,04 72 53 25 50,contact@cabinetboulon.fr,mx_ok,FABRICE CHARLES MARIE BOURBON,Président du conseil d’administration,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|dirigeant+5,https://cabinetboulon.fr,https://www.pappers.fr/entreprise/329415392,https://annuaire-entreprises.data.gouv.fr/entreprise/329415392,https://annuaire-entreprises.data.gouv.fr/annonces/329415392,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/329415392,https://annuaire-entreprises.data.gouv.fr/dirigeants/329415392,"https://www.google.com/maps?q=46.194446469,5.2337331004",https://www.google.com/search?q=CABINET+BOULON+BOURG-EN-BRESSE,https://news.google.com/search?hl=fr&q=%22CABINET+BOULON%22,https://www.linkedin.com/search/results/companies/?keywords=CABINET+BOULON,https://www.linkedin.com/search/results/people/?keywords=FABRICE+CHARLES+MARIE+BOURBON+CABINET+BOULON,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=CABINET+BOULON&ou=BOURG-EN-BRESSE,https://www.societe.com/cgi-bin/search?champs=329415392,https://fr.trustpilot.com/review/cabinetboulon.fr,https://www.linkedin.com/company/cogeparc,cabinetboulon.fr,20-49,2023,PME,2,6,,1638678,,-24275,2025,42,1984-02-01,SA,,,,non,non,,0787,FR03329415392,active,,329415392,32941539200045,69.20Z,44 RUE LEON PERRIN 01000 BOURG-EN-BRESSE,46.194446469,5.2337331004,site-generique,non,cabinet@cabinetblanchard.fr; cabinet@cogeparc.com; contact@ice-solution.fr; contactsaintgenislaval@cogeparc.com,PASCAL JEAN-MICHEL FAURE (Administrateur); DENIS PIANTE (Administrateur); COGEPARC (Administrateur),oui,oui,2026-08-01,sirene,BOURG-EN-BRESSE
ORFIS,A,70,a contacter,,,,,,,,,,,,comptabilite,Activites comptables,VILLEURBANNE,69100,69,Auvergne-Rhone-Alpes,08 17 18 41 19,orfis@orfis.com,mx_ok,EDOUARD PAUL PIERRE MONTEIL CORNUT-CHAUVINC,Président de SAS,email+12|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|dirigeant+5|labels+5,https://orfis.com,https://www.pappers.fr/entreprise/957509045,https://annuaire-entreprises.data.gouv.fr/entreprise/957509045,https://annuaire-entreprises.data.gouv.fr/annonces/957509045,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/957509045,https://annuaire-entreprises.data.gouv.fr/dirigeants/957509045,"https://www.google.com/maps?q=45.7782880240657,4.85994665527279",https://www.google.com/search?q=ORFIS+VILLEURBANNE,https://news.google.com/search?hl=fr&q=%22ORFIS%22,https://www.linkedin.com/search/results/companies/?keywords=ORFIS,https://www.linkedin.com/search/results/people/?keywords=EDOUARD+PAUL+PIERRE+MONTEIL+CORNUT-CHAUVINC+ORFIS,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=ORFIS&ou=VILLEURBANNE,https://www.societe.com/cgi-bin/search?champs=957509045,https://fr.trustpilot.com/review/orfis.com,https://www.linkedin.com/company/orfis,orfis.com,50-99,2023,PME,4,9,,11817522,,121933,2025,69,1957-01-01,SAS,,,,non,non,Organisme de formation,0787,FR90957509045,active,,957509045,95750904500119,69.20Z,79 BOULEVARD DE LA BATAILLE DE STALINGRAD 69100 VILLEURBANNE,45.7782880240657,4.85994665527279,site,non,orcelik@orcelik.com,GILLES GALLEGO (Commissaire aux comptes titulaire); BENOIT JEAN CHRISTIAN NOWACZYK (Directeur Général); BMA (Commissaire aux comptes suppléant),oui,oui,2026-08-01,sirene,VILLEURBANNE
FOX AUDIT,A,70,a contacter,,,,,,,,,,,,comptabilite,Activites comptables,PARIS,75016,75,Ile-de-France,08 03 81 07 51,cabinet@foxaudit.com,mx_ok,YOANN AZIZA,Directeur général délégué,email+12|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://foxaudit.fr,https://www.pappers.fr/entreprise/788539146,https://annuaire-entreprises.data.gouv.fr/entreprise/788539146,https://annuaire-entreprises.data.gouv.fr/annonces/788539146,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/788539146,https://annuaire-entreprises.data.gouv.fr/dirigeants/788539146,"https://www.google.com/maps?q=48.8651396817416,2.2735643816541",https://www.google.com/search?q=FOX+AUDIT+PARIS,https://news.google.com/search?hl=fr&q=%22FOX+AUDIT%22,https://www.linkedin.com/search/results/companies/?keywords=FOX+AUDIT,https://www.linkedin.com/search/results/people/?keywords=YOANN+AZIZA+FOX+AUDIT,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=FOX+AUDIT&ou=PARIS,https://www.societe.com/cgi-bin/search?champs=788539146,https://fr.trustpilot.com/review/foxaudit.fr,https://www.linkedin.com/company/fox-audit,foxaudit.fr,20-49,2023,PME,3,7,,3365244,,77448,2024,14,2012-10-01,SAS,,FOX AUDIT,,non,non,,0787,FR74788539146,active,,788539146,78853914600076,69.20Z,127 RUE DE LA FAISANDERIE 75016 PARIS,48.8651396817416,2.2735643816541,site,non,,NICOLAS DENECKER (Directeur général délégué); JEREMY LELLOUCHE (Président de SAS); SOPHIE DECREQUY (MAUVOISIN) (Directeur Général),oui,oui,2026-08-04,sirene,PARIS
2042 EXPERTISE,A,70,a contacter,,,,,,,,,,,,comptabilite,Activites comptables,NICE,06000,06,Provence-Alpes-Cote d'Azur,04 89 73 04 71,contact@2042expertise.fr,mx_ok,PHILIPPE DEREPAS,Directeur Général,email+20|tel+10|ca+15|effectif+10|categorie+5|anciennete+5|dirigeant+5,https://2042expertise.fr,https://www.pappers.fr/entreprise/897718797,https://annuaire-entreprises.data.gouv.fr/entreprise/897718797,https://annuaire-entreprises.data.gouv.fr/annonces/897718797,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/897718797,https://annuaire-entreprises.data.gouv.fr/dirigeants/897718797,"https://www.google.com/maps?q=43.668811435,7.2152491388",https://www.google.com/search?q=2042+EXPERTISE+NICE,https://news.google.com/search?hl=fr&q=%222042+EXPERTISE%22,https://www.linkedin.com/search/results/companies/?keywords=2042+EXPERTISE,https://www.linkedin.com/search/results/people/?keywords=PHILIPPE+DEREPAS+2042+EXPERTISE,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=2042+EXPERTISE&ou=NICE,https://www.societe.com/cgi-bin/search?champs=897718797,https://fr.trustpilot.com/review/2042expertise.fr,,2042expertise.fr,6-9,2023,PME,1,1,,755212,,224753,2022,5,2021-03-24,SAS,,2042 EXPERTISE,,non,non,,0787,FR00897718797,active,,897718797,89771879700011,69.20Z,PORTE DE L'ARENAS B 455 PROMENADE DES ANGLAIS 06000 NICE,43.668811435,7.2152491388,site-generique,non,,ALBERT SASSO (Président de SAS),oui,oui,2026-08-06,sirene,NICE
