nom,tier,score,statut,date_contact,canal,date_relance,notes,produit,montant_vendu,date_vente,paye,montant_encaisse,commission,statut_livraison,type,libelle,commune,cp,departement,region,telephone,email,email_status,dirigeant,qualite,raisons,lien_site,lien_pappers,lien_annuaire,lien_annonces,lien_finances,lien_dirigeants,lien_maps,lien_google,lien_google_news,lien_linkedin_rech,lien_linkedin_dirigeant,lien_pagesjaunes,lien_societe,lien_trustpilot,linkedin,domain,effectif,annee_effectif,categorie,nb_etablissements_ouverts,nb_etablissements,communes_etablissements,ca,ca_prev,resultat_net,annee_finances,anciennete,date_creation,nature_juridique,sigle,nom_commercial,employeur,entrepreneur_individuel,diffusion_protegee,labels,idcc,tva_intra,etat,signaux_bodacc,siren,siret,naf,adresse,latitude,longitude,email_source,email_perso,autres_emails,autres_dirigeants,a_site,web_fait,date_enrichi,source,ville
QUARDINA,A,83,a contacter,,,,,,,,,,,,conseil_gestion,"Ingenierie, etudes techniques",VELIZY-VILLACOUBLAY,78140,78,Ile-de-France,07 75 21 46 31,contact@quardina.fr,mx_ok,RADIJA EL AMRAOUI (BAJAJA),Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5|labels+5,https://quardina.fr,https://www.pappers.fr/entreprise/804448587,https://annuaire-entreprises.data.gouv.fr/entreprise/804448587,https://annuaire-entreprises.data.gouv.fr/annonces/804448587,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/804448587,https://annuaire-entreprises.data.gouv.fr/dirigeants/804448587,"https://www.google.com/maps?q=48.782124477258,2.22529279103021",https://www.google.com/search?q=QUARDINA+VELIZY-VILLACOUBLAY,https://news.google.com/search?hl=fr&q=%22QUARDINA%22,https://www.linkedin.com/search/results/companies/?keywords=QUARDINA,https://www.linkedin.com/search/results/people/?keywords=RADIJA+EL+AMRAOUI+%28BAJAJA%29+QUARDINA,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=QUARDINA&ou=VELIZY-VILLACOUBLAY,https://www.societe.com/cgi-bin/search?champs=804448587,https://fr.trustpilot.com/review/quardina.fr,https://fr.linkedin.com/company/quardina,quardina.fr,100-199,2023,ETI,13,84,,12983462,,103966,2024,12,2014-09-01,SAS,,QCS SERVICES,,non,non,RGE,1486,FR32804448587,active,,804448587,80444858700829,71.12B,VELIZY PLUS BATIMENT G 1 B RUE DU PETIT-CLAMART 78140 VELIZY-VILLACOUBLAY,48.782124477258,2.22529279103021,site-generique,non,,FORVIS MAZARS SA (Commissaire aux comptes titulaire),oui,oui,2026-08-01,sirene,VELIZY-VILLACOUBLAY
BETEM,A,83,a contacter,,,,,,,,,,,,conseil_gestion,"Ingenierie, etudes techniques",TOULOUSE,31200,31,Occitanie,07 68 91 24 02,rhonealpes@betem.fr,mx_ok,BRUNO MARIN,Directeur Général,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5|labels+5,https://betem.fr,https://www.pappers.fr/entreprise/790444749,https://annuaire-entreprises.data.gouv.fr/entreprise/790444749,https://annuaire-entreprises.data.gouv.fr/annonces/790444749,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/790444749,https://annuaire-entreprises.data.gouv.fr/dirigeants/790444749,"https://www.google.com/maps?q=43.6415459166012,1.47159474742281",https://www.google.com/search?q=BETEM+TOULOUSE,https://news.google.com/search?hl=fr&q=%22BETEM%22,https://www.linkedin.com/search/results/companies/?keywords=BETEM,https://www.linkedin.com/search/results/people/?keywords=BRUNO+MARIN+BETEM,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=BETEM&ou=TOULOUSE,https://www.societe.com/cgi-bin/search?champs=790444749,https://fr.trustpilot.com/review/betem.fr,https://fr.linkedin.com/company/groupe-betem,betem.fr,50-99,2023,ETI,9,11,,15478550,,1615630,2024,14,2012-12-19,SAS,,,,non,non,RGE,1486,FR91790444749,active,,790444749,79044474900010,71.12B,ZONE D'ACTIVITE COMMERCIALE DE MONTBLA 6 IMPASSE ALPHONSE BREMOND 31200 TOULOUSE,43.6415459166012,1.47159474742281,site-generique,non,aquitaine@betem.fr; atlantique@betem.fr; be.ingecor@ingecor.fr; betem@betem.fr; cabinet@racine.fr,PHILIPPE MERCIER (Président de SAS); KPMG (Commissaire aux comptes titulaire),oui,oui,2026-08-04,sirene,TOULOUSE
LFC HUMAIN,A,83,a contacter,,,,,,,,,,,,conseil_gestion,Conseil pour les affaires et autres conseils de gestion,PAU,64000,64,Nouvelle-Aquitaine,04 30 34 00 33,contact@groupelfc.com,mx_ok,FM2V,Directeur Général,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5|labels+5,https://lfchumain.fr,https://www.pappers.fr/entreprise/447805623,https://annuaire-entreprises.data.gouv.fr/entreprise/447805623,https://annuaire-entreprises.data.gouv.fr/annonces/447805623,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/447805623,https://annuaire-entreprises.data.gouv.fr/dirigeants/447805623,"https://www.google.com/maps?q=43.318945052,-0.359183044",https://www.google.com/search?q=LFC+HUMAIN+PAU,https://news.google.com/search?hl=fr&q=%22LFC+HUMAIN%22,https://www.linkedin.com/search/results/companies/?keywords=LFC+HUMAIN,https://www.linkedin.com/search/results/people/?keywords=FM2V+LFC+HUMAIN,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=LFC+HUMAIN&ou=PAU,https://www.societe.com/cgi-bin/search?champs=447805623,https://fr.trustpilot.com/review/lfchumain.fr,https://www.linkedin.com/company/lfchumain,lfchumain.fr,10-19,2023,PME,9,19,,991212,,1570,2024,23,2003-03-05,SAS,,,,non,non,Organisme de formation,1486,FR55447805623,active,,447805623,44780562300173,70.22Z,ESPACE SHAMROCK 40 RUE RONSARD 64000 PAU,43.318945052,-0.359183044,site-generique,non,contact@lfchumain.com; pauline.marin@groupelfc.com,CONSEIL MP RH (Président de SAS),oui,oui,2026-08-09,sirene,PAU
THERMI FLUIDES,A,83,a contacter,,,,,,,,,,,,conseil_gestion,"Ingenierie, etudes techniques",CULOZ-BEON,01350,01,Auvergne-Rhone-Alpes,04 79 87 00 90,contact@thermi-fluides.fr,mx_ok,BENJAMIN DEFAY,Gérant,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5|labels+5,https://thermifluides.fr,https://www.pappers.fr/entreprise/440408888,https://annuaire-entreprises.data.gouv.fr/entreprise/440408888,https://annuaire-entreprises.data.gouv.fr/annonces/440408888,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/440408888,https://annuaire-entreprises.data.gouv.fr/dirigeants/440408888,"https://www.google.com/maps?q=45.850138087,5.7813019302",https://www.google.com/search?q=THERMI+FLUIDES+CULOZ-BEON,https://news.google.com/search?hl=fr&q=%22THERMI+FLUIDES%22,https://www.linkedin.com/search/results/companies/?keywords=THERMI+FLUIDES,https://www.linkedin.com/search/results/people/?keywords=BENJAMIN+DEFAY+THERMI+FLUIDES,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=THERMI+FLUIDES&ou=CULOZ-BEON,https://www.societe.com/cgi-bin/search?champs=440408888,https://fr.trustpilot.com/review/thermifluides.fr,,thermifluides.fr,10-19,2023,PME,4,9,,1974908,,171041,2025,25,2001-12-01,SARL,,,,non,non,RGE,1486,FR55440408888,active,,440408888,44040888800061,71.12B,31 RUE DU FOUR 01350 CULOZ-BEON,45.850138087,5.7813019302,site-generique,non,,GUILLAUME VITALI (Gérant),oui,oui,2026-08-01,sirene,CULOZ-BEON
ADJUVOO,A,83,a contacter,,,,,,,,,,,,conseil_gestion,Conseil pour les affaires et autres conseils de gestion,PARIS,75013,75,Ile-de-France,01 84 81 12 15,contact@adjuvoo.com,mx_ok,CONSEILS ASSOCIES SA,Commissaire aux comptes titulaire,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5|labels+5,https://adjuvoo.com,https://www.pappers.fr/entreprise/898001029,https://annuaire-entreprises.data.gouv.fr/entreprise/898001029,https://annuaire-entreprises.data.gouv.fr/annonces/898001029,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/898001029,https://annuaire-entreprises.data.gouv.fr/dirigeants/898001029,"https://www.google.com/maps?q=48.8338625984281,2.36690448820586",https://www.google.com/search?q=ADJUVOO+PARIS,https://news.google.com/search?hl=fr&q=%22ADJUVOO%22,https://www.linkedin.com/search/results/companies/?keywords=ADJUVOO,https://www.linkedin.com/search/results/people/?keywords=CONSEILS+ASSOCIES+SA+ADJUVOO,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=ADJUVOO&ou=PARIS,https://www.societe.com/cgi-bin/search?champs=898001029,https://fr.trustpilot.com/review/adjuvoo.com,https://www.linkedin.com/company/adjuvoo,adjuvoo.com,100-199,2023,PME,3,8,,11555480,,366159,2024,5,2021-04-01,SAS,,,,non,non,Organisme de formation,1486,FR80898001029,active,,898001029,89800102900088,70.22Z,83 BOULEVARD VINCENT AURIOL 75013 PARIS,48.8338625984281,2.36690448820586,site-generique,non,,KEY BUSINESS SERVICES SA (Président de SAS),oui,oui,2026-08-04,sirene,PARIS
AXALP,A,83,a contacter,,,,,,,,,,,,conseil_gestion,"Ingenierie, etudes techniques",ANNECY,74000,74,Auvergne-Rhone-Alpes,04 50 66 11 06,accueil@axalp.fr,mx_ok,MARINE BOLLARD,Directeur général délégué,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5|labels+5,https://axalp.fr,https://www.pappers.fr/entreprise/433800570,https://annuaire-entreprises.data.gouv.fr/entreprise/433800570,https://annuaire-entreprises.data.gouv.fr/annonces/433800570,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/433800570,https://annuaire-entreprises.data.gouv.fr/dirigeants/433800570,"https://www.google.com/maps?q=45.903042401,6.1227507765",https://www.google.com/search?q=AXALP+ANNECY,https://news.google.com/search?hl=fr&q=%22AXALP%22,https://www.linkedin.com/search/results/companies/?keywords=AXALP,https://www.linkedin.com/search/results/people/?keywords=MARINE+BOLLARD+AXALP,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=AXALP&ou=ANNECY,https://www.societe.com/cgi-bin/search?champs=433800570,https://fr.trustpilot.com/review/axalp.fr,https://www.linkedin.com/company/axalpscop,axalp.fr,20-49,2023,PME,3,12,,2388893,,2479148,2023,26,2000-12-11,5560,,AXALP,,non,non,ESS,"9999, 1486",FR58433800570,active,,433800570,43380057000122,71.12B,ATRIA 1 PL MARIE CURIE 74000 ANNECY,45.903042401,6.1227507765,site-generique,non,,ANNE PICARD (CIFERMAN) (Administrateur); STÉPHANE CURIOZ (Administrateur); CHRISTIAN JOUNIAUX (Administrateur); ALAIN MELO (Administrateur),oui,oui,2026-08-01,sirene,ANNECY
LE COMPTOIR DES ENTREPRENEURS,A,83,a contacter,,,,,,,,,,,,conseil_gestion,"Ingenierie, etudes techniques",NARBONNE,11100,11,Occitanie,06 32 81 50 31,contact@lecomptoirdesentrepreneurs.fr,mx_ok,AMANDINE THERESE AGNES LE FOUILLER (FLEURY),Gérant,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5|labels+5,https://lecomptoirdesentrepreneurs.fr,https://www.pappers.fr/entreprise/831952379,https://annuaire-entreprises.data.gouv.fr/entreprise/831952379,https://annuaire-entreprises.data.gouv.fr/annonces/831952379,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/831952379,https://annuaire-entreprises.data.gouv.fr/dirigeants/831952379,"https://www.google.com/maps?q=43.181948716,2.978515965",https://www.google.com/search?q=LE+COMPTOIR+DES+ENTREPRENEURS+NARBONNE,https://news.google.com/search?hl=fr&q=%22LE+COMPTOIR+DES+ENTREPRENEURS%22,https://www.linkedin.com/search/results/companies/?keywords=LE+COMPTOIR+DES+ENTREPRENEURS,https://www.linkedin.com/search/results/people/?keywords=AMANDINE+THERESE+AGNES+LE+FOUILLER+%28FLEURY%29+LE+COMPTOIR+DES+ENTREPRENEURS,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=LE+COMPTOIR+DES+ENTREPRENEURS&ou=NARBONNE,https://www.societe.com/cgi-bin/search?champs=831952379,https://fr.trustpilot.com/review/lecomptoirdesentrepreneurs.fr,https://www.linkedin.com/company/le-comptoir-des-entrepreneurs,lecomptoirdesentrepreneurs.fr,20-49,2023,PME,3,4,,1182857,,-2998,2024,9,2017-09-14,5460,,,,non,non,"RGE, Qualiopi, Organisme de formation, ESS",9999,FR07831952379,active,,831952379,83195237900020,71.12B,IN'ESS 30 AV POMPIDOR 11100 NARBONNE,43.181948716,2.978515965,site-generique,non,,,oui,oui,2026-08-09,sirene,NARBONNE
INDUSTRIE ENVIRONNEMENT,A,83,a contacter,,,,,,,,,,,,conseil_gestion,Conseil pour les affaires et autres conseils de gestion,REIMS,51100,51,Grand Est,01 23 45 67 89,contact@industrieenvironnement.fr,mx_ok,FINANCIERE DE LA METALLURGIE CHAMPAGNE ARDENNE,Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5|labels+5,https://industrieenvironnement.fr,https://www.pappers.fr/entreprise/428921704,https://annuaire-entreprises.data.gouv.fr/entreprise/428921704,https://annuaire-entreprises.data.gouv.fr/annonces/428921704,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/428921704,https://annuaire-entreprises.data.gouv.fr/dirigeants/428921704,"https://www.google.com/maps?q=49.2377208928763,4.06438649689553",https://www.google.com/search?q=INDUSTRIE+ENVIRONNEMENT+REIMS,https://news.google.com/search?hl=fr&q=%22INDUSTRIE+ENVIRONNEMENT%22,https://www.linkedin.com/search/results/companies/?keywords=INDUSTRIE+ENVIRONNEMENT,https://www.linkedin.com/search/results/people/?keywords=FINANCIERE+DE+LA+METALLURGIE+CHAMPAGNE+ARDENNE+INDUSTRIE+ENVIRONNEMENT,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=INDUSTRIE+ENVIRONNEMENT&ou=REIMS,https://www.societe.com/cgi-bin/search?champs=428921704,https://fr.trustpilot.com/review/industrieenvironnement.fr,,industrieenvironnement.fr,3-5,2023,ETI,2,3,,378357,,3290,2024,27,1999-11-02,SAS,,,,non,non,"Qualiopi, Organisme de formation",3248,FR81428921704,active,,428921704,42892170400022,70.22Z,PARC TECHNOLOGIQUE HENRI FARMAN 3 RUE MAX HOLSTE 51100 REIMS,49.2377208928763,4.06438649689553,site-generique,non,helene.vasseur@industrieusine.fr,COM'FIDUCE ARDENNES (Commissaire aux comptes suppléant); AA. COM. AUX COMPTES (Commissaire aux comptes titulaire),oui,oui,2026-08-08,sirene,REIMS
L'AMOUR DU PAIN,A,83,a contacter,,,,,,,,,,,,conseil_gestion,Activites des sieges sociaux,CANNES,06150,06,Provence-Alpes-Cote d'Azur,06 48 63 27 96,contact@lamourdupain.fr,mx_ok,FRANCE QUENTIN (BIANCONI),Gérant,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5|labels+5,https://lamourdupain.fr,https://www.pappers.fr/entreprise/832950935,https://annuaire-entreprises.data.gouv.fr/entreprise/832950935,https://annuaire-entreprises.data.gouv.fr/annonces/832950935,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/832950935,https://annuaire-entreprises.data.gouv.fr/dirigeants/832950935,"https://www.google.com/maps?q=43.5726023292756,6.95971883841407",https://www.google.com/search?q=L%27AMOUR+DU+PAIN+CANNES,https://news.google.com/search?hl=fr&q=%22L%27AMOUR+DU+PAIN%22,https://www.linkedin.com/search/results/companies/?keywords=L%27AMOUR+DU+PAIN,https://www.linkedin.com/search/results/people/?keywords=FRANCE+QUENTIN+%28BIANCONI%29+L%27AMOUR+DU+PAIN,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=L%27AMOUR+DU+PAIN&ou=CANNES,https://www.societe.com/cgi-bin/search?champs=832950935,https://fr.trustpilot.com/review/lamourdupain.fr,,lamourdupain.fr,6-9,2023,PME,2,3,,555645,,39735,2024,9,2017-10-11,SARL,,,,non,non,Bio,,FR24832950935,active,,832950935,83295093500037,70.10Z,VILLA 22 LES OLIVARELLES LA BOCCA 2 RUE JEAN GIONO 06150 CANNES,43.5726023292756,6.95971883841407,site-generique,non,contact@local.fr,,oui,oui,2026-08-05,sirene,CANNES
SURFJOB,A,83,a contacter,,,,,,,,,,,,conseil_gestion,Conseil pour les affaires et autres conseils de gestion,LILLE,59800,59,Hauts-de-France,06 62 45 98 94,contact@surfjob.fr,mx_ok,JEAN-MICHEL LESAGE,Gérant,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5|labels+5,https://surfjob.fr,https://www.pappers.fr/entreprise/493722003,https://annuaire-entreprises.data.gouv.fr/entreprise/493722003,https://annuaire-entreprises.data.gouv.fr/annonces/493722003,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/493722003,https://annuaire-entreprises.data.gouv.fr/dirigeants/493722003,"https://www.google.com/maps?q=50.636936942,3.0677520984",https://www.google.com/search?q=SURFJOB+LILLE,https://news.google.com/search?hl=fr&q=%22SURFJOB%22,https://www.linkedin.com/search/results/companies/?keywords=SURFJOB,https://www.linkedin.com/search/results/people/?keywords=JEAN-MICHEL+LESAGE+SURFJOB,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=SURFJOB&ou=LILLE,https://www.societe.com/cgi-bin/search?champs=493722003,https://fr.trustpilot.com/review/surfjob.fr,,surfjob.fr,10-19,2023,PME,2,5,,1315281,,2721,2024,19,2007-01-01,SARL,,,,non,non,"Qualiopi, Organisme de formation","3219, 1486",FR77493722003,active,,493722003,49372200300040,70.22Z,43 RUE FAIDHERBE 59800 LILLE,50.636936942,3.0677520984,site-generique,non,jm.lesage@surfjob.fr; support@avante.com,,oui,oui,2026-08-05,sirene,LILLE
