nom,tier,score,statut,date_contact,canal,date_relance,notes,produit,montant_vendu,date_vente,paye,montant_encaisse,commission,statut_livraison,type,libelle,commune,cp,departement,region,telephone,email,email_status,dirigeant,qualite,raisons,lien_site,lien_pappers,lien_annuaire,lien_annonces,lien_finances,lien_dirigeants,lien_maps,lien_google,lien_google_news,lien_linkedin_rech,lien_linkedin_dirigeant,lien_pagesjaunes,lien_societe,lien_trustpilot,linkedin,domain,effectif,annee_effectif,categorie,nb_etablissements_ouverts,nb_etablissements,communes_etablissements,ca,ca_prev,resultat_net,annee_finances,anciennete,date_creation,nature_juridique,sigle,nom_commercial,employeur,entrepreneur_individuel,diffusion_protegee,labels,idcc,tva_intra,etat,signaux_bodacc,siren,siret,naf,adresse,latitude,longitude,email_source,email_perso,autres_emails,autres_dirigeants,a_site,web_fait,date_enrichi,source,ville
CADWORK FRANCE,A,83,a contacter,,,,,,,,,,,,conseil_it,Conseil en systemes et logiciels informatiques,SAONE,25660,25,Bourgogne-Franche-Comte,03 86 58 05 03,support@cadworkaustralasia.com,mx_ok,YOANN QUELLIEN (QUELLIEN),Gérant et associé indéfiniment responsable,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5|labels+5,https://cadwork.fr,https://www.pappers.fr/entreprise/752221903,https://annuaire-entreprises.data.gouv.fr/entreprise/752221903,https://annuaire-entreprises.data.gouv.fr/annonces/752221903,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/752221903,https://annuaire-entreprises.data.gouv.fr/dirigeants/752221903,"https://www.google.com/maps?q=47.221247514,6.1134481447",https://www.google.com/search?q=CADWORK+FRANCE+SAONE,https://news.google.com/search?hl=fr&q=%22CADWORK+FRANCE%22,https://www.linkedin.com/search/results/companies/?keywords=CADWORK+FRANCE,https://www.linkedin.com/search/results/people/?keywords=YOANN+QUELLIEN+%28QUELLIEN%29+CADWORK+FRANCE,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=CADWORK+FRANCE&ou=SAONE,https://www.societe.com/cgi-bin/search?champs=752221903,https://fr.trustpilot.com/review/cadwork.fr,https://www.linkedin.com/company/cadwork-informatique-inc,cadwork.fr,10-19,2023,PME,6,11,,8191937,,120661,2024,14,2012-06-06,SAS,,,,non,non,"Qualiopi, Organisme de formation",1486,FR06752221903,active,,752221903,75222190300053,62.02A,RUE JOSEPH CLIMENT 25660 SAONE,47.221247514,6.1134481447,site-generique,non,montreal@cadwork.ca,GENERATION AUDIT EXPERTISE (Commissaire aux comptes titulaire); ADEXIAM (Commissaire aux comptes suppléant); WORK4CAD SA (Président de SAS),oui,oui,2026-08-03,sirene,SAONE
ACPQUALIFE,A,83,a contacter,,,,,,,,,,,,conseil_it,Gestion d'installations informatiques,AIX-EN-PROVENCE,13080,13,Provence-Alpes-Cote d'Azur,04 42 91 42 99,contact@acpqualife.com,mx_ok,ABDESSELAM ALAOUI SMAILI,Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5|labels+5,https://acpqualife.com,https://www.pappers.fr/entreprise/442642625,https://annuaire-entreprises.data.gouv.fr/entreprise/442642625,https://annuaire-entreprises.data.gouv.fr/annonces/442642625,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/442642625,https://annuaire-entreprises.data.gouv.fr/dirigeants/442642625,"https://www.google.com/maps?q=43.481021803,5.3663556873",https://www.google.com/search?q=ACPQUALIFE+AIX-EN-PROVENCE,https://news.google.com/search?hl=fr&q=%22ACPQUALIFE%22,https://www.linkedin.com/search/results/companies/?keywords=ACPQUALIFE,https://www.linkedin.com/search/results/people/?keywords=ABDESSELAM+ALAOUI+SMAILI+ACPQUALIFE,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=ACPQUALIFE&ou=AIX-EN-PROVENCE,https://www.societe.com/cgi-bin/search?champs=442642625,https://fr.trustpilot.com/review/acpqualife.com,,acpqualife.com,100-199,2023,PME,5,12,,15424449,,133426,2023,24,2002-07-01,SAS,ACP,,,non,non,"Qualiopi, Organisme de formation",1486,FR21442642625,active,,442642625,44264262500101,62.03Z,805 AV J R G GAUTIER DE LA LAUZIERE 13080 AIX-EN-PROVENCE,43.481021803,5.3663556873,site-generique,non,administrator@acpqualife.com; recrutement@acpqualife.com,EVELYNE JOLY PERONI (Commissaire aux comptes titulaire); FINAUDIT (Commissaire aux comptes suppléant),oui,oui,2026-08-04,sirene,AIX-EN-PROVENCE
SG2I,A,83,a contacter,,,,,,,,,,,,conseil_it,Conseil en systemes et logiciels informatiques,AUXERRE,89000,89,Bourgogne-Franche-Comte,08 11 82 12 69,contact@sg2i.com,mx_ok,THOMAS SIMON CHRISTOPHE MARIE LEMAITRE,Directeur Général,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5|labels+5,https://sg2i.com,https://www.pappers.fr/entreprise/528302862,https://annuaire-entreprises.data.gouv.fr/entreprise/528302862,https://annuaire-entreprises.data.gouv.fr/annonces/528302862,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/528302862,https://annuaire-entreprises.data.gouv.fr/dirigeants/528302862,"https://www.google.com/maps?q=47.808324912,3.5751774981",https://www.google.com/search?q=SG2I+AUXERRE,https://news.google.com/search?hl=fr&q=%22SG2I%22,https://www.linkedin.com/search/results/companies/?keywords=SG2I,https://www.linkedin.com/search/results/people/?keywords=THOMAS+SIMON+CHRISTOPHE+MARIE+LEMAITRE+SG2I,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=SG2I&ou=AUXERRE,https://www.societe.com/cgi-bin/search?champs=528302862,https://fr.trustpilot.com/review/sg2i.com,https://www.linkedin.com/company/sg2i-consulting,sg2i.com,6-9,2023,PME,5,5,,637287,,745,2019,16,2010-10-01,SAS,SG2I,SASU SG2I,,non,non,Organisme de formation,7020,FR87528302862,active,,528302862,52830286200016,62.02A,35 B RUE DE LA MALADIERE 89000 AUXERRE,47.808324912,3.5751774981,site-generique,non,,AGC CERFRANCE BFC (Président de SAS),oui,oui,2026-08-23,sirene,AUXERRE
ENGIT,A,83,a contacter,,,,,,,,,,,,conseil_it,Conseil en systemes et logiciels informatiques,VALBONNE,06560,06,Provence-Alpes-Cote d'Azur,08 56 36 41 41,contact@engit.fr,mx_ok,AUDIT BUGEAUD,Commissaire aux comptes titulaire,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5|labels+5,https://engit.fr,https://www.pappers.fr/entreprise/828680538,https://annuaire-entreprises.data.gouv.fr/entreprise/828680538,https://annuaire-entreprises.data.gouv.fr/annonces/828680538,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/828680538,https://annuaire-entreprises.data.gouv.fr/dirigeants/828680538,"https://www.google.com/maps?q=43.6246595026526,7.05437067822499",https://www.google.com/search?q=ENGIT+VALBONNE,https://news.google.com/search?hl=fr&q=%22ENGIT%22,https://www.linkedin.com/search/results/companies/?keywords=ENGIT,https://www.linkedin.com/search/results/people/?keywords=AUDIT+BUGEAUD+ENGIT,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=ENGIT&ou=VALBONNE,https://www.societe.com/cgi-bin/search?champs=828680538,https://fr.trustpilot.com/review/engit.fr,https://www.linkedin.com/company/engit,engit.fr,50-99,2023,PME,4,8,,10498820,,-420857,2024,9,2017-04-01,SAS,,,,non,non,"Qualiopi, Organisme de formation",1486,FR11828680538,active,,828680538,82868053800042,62.02A,LE BALTIQUE - LES VAISSEAUX 300 RUE DU VALLON 06560 VALBONNE,43.6246595026526,7.05437067822499,site-generique,non,dpo@engit.fr,GEOFFROY RIVIERA (Directeur Général); ABEE (Président de SAS),oui,oui,2026-08-04,sirene,VALBONNE
FLOW LINE INTEGRATION,A,83,a contacter,,,,,,,,,,,,conseil_it,Conseil en systemes et logiciels informatiques,BRON,69500,69,Auvergne-Rhone-Alpes,04 03 20 00 61,contact@flowline.fr,mx_ok,SÉBASTIEN GAS,Directeur Général,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5|labels+5,https://flowlineintegration.com,https://www.pappers.fr/entreprise/801330606,https://annuaire-entreprises.data.gouv.fr/entreprise/801330606,https://annuaire-entreprises.data.gouv.fr/annonces/801330606,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/801330606,https://annuaire-entreprises.data.gouv.fr/dirigeants/801330606,"https://www.google.com/maps?q=45.7265514196353,4.92147825613658",https://www.google.com/search?q=FLOW+LINE+INTEGRATION+BRON,https://news.google.com/search?hl=fr&q=%22FLOW+LINE+INTEGRATION%22,https://www.linkedin.com/search/results/companies/?keywords=FLOW+LINE+INTEGRATION,https://www.linkedin.com/search/results/people/?keywords=S%C3%89BASTIEN+GAS+FLOW+LINE+INTEGRATION,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=FLOW+LINE+INTEGRATION&ou=BRON,https://www.societe.com/cgi-bin/search?champs=801330606,https://fr.trustpilot.com/review/flowlineintegration.com,https://www.linkedin.com/company/groupe-flow-line,flowlineintegration.com,50-99,2023,PME,3,10,,7304714,,839879,2018,12,2014-03-25,SAS,,FLOW LINE INTEGRATION,,non,non,"Qualiopi, Organisme de formation",1486,FR90801330606,active,,801330606,80133060600014,62.02A,4 RUE MARYSE BASTIE 69500 BRON,45.7265514196353,4.92147825613658,site-generique,non,,JEAN-MICHEL SCHMITT (Commissaire aux comptes suppléant); VEAMA (Commissaire aux comptes titulaire); HEOL DEVELOPPEMENT (Président de SAS),oui,oui,2026-08-18,sirene,BRON
PRODUCTYS,A,83,a contacter,,,,,,,,,,,,conseil_it,Conseil en systemes et logiciels informatiques,SAINT-NAZAIRE,44600,44,Pays de la Loire,02 40 22 86 10,contact@productys.com,mx_ok,STEPHANE PIERRE GEORGES CREPET,Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5|labels+5,https://productys.fr,https://www.pappers.fr/entreprise/480939834,https://annuaire-entreprises.data.gouv.fr/entreprise/480939834,https://annuaire-entreprises.data.gouv.fr/annonces/480939834,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/480939834,https://annuaire-entreprises.data.gouv.fr/dirigeants/480939834,"https://www.google.com/maps?q=47.2752834180937,-2.21320371947582",https://www.google.com/search?q=PRODUCTYS+SAINT-NAZAIRE,https://news.google.com/search?hl=fr&q=%22PRODUCTYS%22,https://www.linkedin.com/search/results/companies/?keywords=PRODUCTYS,https://www.linkedin.com/search/results/people/?keywords=STEPHANE+PIERRE+GEORGES+CREPET+PRODUCTYS,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=PRODUCTYS&ou=SAINT-NAZAIRE,https://www.societe.com/cgi-bin/search?champs=480939834,https://fr.trustpilot.com/review/productys.fr,https://www.linkedin.com/company/productys,productys.fr,10-19,2023,PME,3,8,,974643,,166244,2024,21,2005-02-07,SAS,,,,non,non,"Qualiopi, Organisme de formation",1486,FR95480939834,active,,480939834,48093983400085,62.02A,12 AVENUE DE LA REPUBLIQUE 44600 SAINT-NAZAIRE,47.2752834180937,-2.21320371947582,site-generique,non,stephanie.besnier@productys.com,,oui,oui,2026-08-12,sirene,SAINT-NAZAIRE
INAXEL,A,83,a contacter,,,,,,,,,,,,conseil_it,Conseil en systemes et logiciels informatiques,MAUGUIO,34130,34,Occitanie,04 67 17 30 80,contact@inaxel.com,mx_ok,GRUPETTO,Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5|labels+5,https://inaxel.com,https://www.pappers.fr/entreprise/514457100,https://annuaire-entreprises.data.gouv.fr/entreprise/514457100,https://annuaire-entreprises.data.gouv.fr/annonces/514457100,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/514457100,https://annuaire-entreprises.data.gouv.fr/dirigeants/514457100,"https://www.google.com/maps?q=43.587189734,3.9331339358",https://www.google.com/search?q=INAXEL+MAUGUIO,https://news.google.com/search?hl=fr&q=%22INAXEL%22,https://www.linkedin.com/search/results/companies/?keywords=INAXEL,https://www.linkedin.com/search/results/people/?keywords=GRUPETTO+INAXEL,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=INAXEL&ou=MAUGUIO,https://www.societe.com/cgi-bin/search?champs=514457100,https://fr.trustpilot.com/review/inaxel.com,https://www.linkedin.com/company/inaxel,inaxel.com,20-49,2023,PME,2,7,,3723216,,442666,2023,17,2009-09-01,SAS,,,,non,non,"Qualiopi, Organisme de formation",1486,FR44514457100,active,,514457100,51445710000063,62.02A,491 RUE CHARLES NUNGESSER 34130 MAUGUIO,43.587189734,3.9331339358,site-generique,non,administratif@inaxel.com; commercial@inaxel.com,CLAVEL AUDIT-ASSOCIES (Commissaire aux comptes titulaire),oui,oui,2026-08-21,sirene,MAUGUIO
HELIAQ SOLUTIONS,A,78,a contacter,,,,,,,,,,,,conseil_it,Conseil en systemes et logiciels informatiques,LE HAILLAN,33185,33,Nouvelle-Aquitaine,05 55 06 06 07,contact@heliaq.fr,mx_ok,DELOITTE ET ASSOCIÉS,Commissaire aux comptes titulaire,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://heliaqsolutions.fr,https://www.pappers.fr/entreprise/424278182,https://annuaire-entreprises.data.gouv.fr/entreprise/424278182,https://annuaire-entreprises.data.gouv.fr/annonces/424278182,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/424278182,https://annuaire-entreprises.data.gouv.fr/dirigeants/424278182,"https://www.google.com/maps?q=44.8604360311462,-0.6722600399814",https://www.google.com/search?q=HELIAQ+SOLUTIONS+LE+HAILLAN,https://news.google.com/search?hl=fr&q=%22HELIAQ+SOLUTIONS%22,https://www.linkedin.com/search/results/companies/?keywords=HELIAQ+SOLUTIONS,https://www.linkedin.com/search/results/people/?keywords=DELOITTE+ET+ASSOCI%C3%89S+HELIAQ+SOLUTIONS,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=HELIAQ+SOLUTIONS&ou=LE+HAILLAN,https://www.societe.com/cgi-bin/search?champs=424278182,https://fr.trustpilot.com/review/heliaqsolutions.fr,https://www.linkedin.com/company/heliaq-france,heliaqsolutions.fr,20-49,2023,PME,10,16,,5668621,,195585,2024,27,1999-09-13,SAS,,,,non,non,,1486,FR73424278182,active,,424278182,42427818200086,62.02A,3 RUE ADRIENNE BOLLAND 33185 LE HAILLAN,44.8604360311462,-0.6722600399814,site-generique,non,,H HOLDING (Président de SAS),oui,oui,2026-08-04,sirene,LE HAILLAN
CITYWAY,A,78,a contacter,,,,,,,,,,,,conseil_it,Conseil en systemes et logiciels informatiques,AIX-EN-PROVENCE,13290,13,Provence-Alpes-Cote d'Azur,06 29 80 24 43,info@cityway.fr,mx_ok,LAURENT BOUCHOU,Directeur Général,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://cityway.fr,https://www.pappers.fr/entreprise/438350480,https://annuaire-entreprises.data.gouv.fr/entreprise/438350480,https://annuaire-entreprises.data.gouv.fr/annonces/438350480,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/438350480,https://annuaire-entreprises.data.gouv.fr/dirigeants/438350480,"https://www.google.com/maps?q=43.479633937,5.3732816855",https://www.google.com/search?q=CITYWAY+AIX-EN-PROVENCE,https://news.google.com/search?hl=fr&q=%22CITYWAY%22,https://www.linkedin.com/search/results/companies/?keywords=CITYWAY,https://www.linkedin.com/search/results/people/?keywords=LAURENT+BOUCHOU+CITYWAY,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=CITYWAY&ou=AIX-EN-PROVENCE,https://www.societe.com/cgi-bin/search?champs=438350480,https://fr.trustpilot.com/review/cityway.fr,https://www.linkedin.com/company/citywaymobility,cityway.fr,100-199,2023,GE,4,16,,12446748,,-6060400,2024,25,2001-06-18,SAS,,,,non,non,,1486,FR45438350480,active,,438350480,43835048000051,62.02A,85 RUE PIERRE DUHEM 13290 AIX-EN-PROVENCE,43.479633937,5.3732816855,site-generique,non,,VIRGINIE MAGALI ELISABETH FERNANDES (Président de SAS); ERNST & YOUNG ET AUTRES (Commissaire aux comptes titulaire),oui,oui,2026-08-04,sirene,AIX-EN-PROVENCE
SEC IT SOLUTIONS,A,78,a contacter,,,,,,,,,,,,conseil_it,Conseil en systemes et logiciels informatiques,LEVALLOIS-PERRET,92300,92,Ile-de-France,04 42 90 08 90,contact@sec-it.fr,mx_ok,MCA MANAGEMENT,Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://secitsolutions.fr,https://www.pappers.fr/entreprise/823114087,https://annuaire-entreprises.data.gouv.fr/entreprise/823114087,https://annuaire-entreprises.data.gouv.fr/annonces/823114087,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/823114087,https://annuaire-entreprises.data.gouv.fr/dirigeants/823114087,"https://www.google.com/maps?q=48.8942931013719,2.29867585090427",https://www.google.com/search?q=SEC+IT+SOLUTIONS+LEVALLOIS-PERRET,https://news.google.com/search?hl=fr&q=%22SEC+IT+SOLUTIONS%22,https://www.linkedin.com/search/results/companies/?keywords=SEC+IT+SOLUTIONS,https://www.linkedin.com/search/results/people/?keywords=MCA+MANAGEMENT+SEC+IT+SOLUTIONS,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=SEC+IT+SOLUTIONS&ou=LEVALLOIS-PERRET,https://www.societe.com/cgi-bin/search?champs=823114087,https://fr.trustpilot.com/review/secitsolutions.fr,https://www.linkedin.com/company/sec-it-solutions,secitsolutions.fr,10-19,2023,ETI,4,9,,2584584,,410381,2022,10,2016-10-06,SAS,,,,non,non,,,FR81823114087,active,,823114087,82311408700096,62.02A,38-48 38 RUE VICTOR HUGO 92300 LEVALLOIS-PERRET,48.8942931013719,2.29867585090427,site-generique,non,,,oui,oui,2026-08-11,sirene,LEVALLOIS-PERRET
