nom,tier,score,statut,date_contact,canal,date_relance,notes,produit,montant_vendu,date_vente,paye,montant_encaisse,commission,statut_livraison,type,libelle,commune,cp,departement,region,telephone,email,email_status,dirigeant,qualite,raisons,lien_site,lien_pappers,lien_annuaire,lien_annonces,lien_finances,lien_dirigeants,lien_maps,lien_google,lien_google_news,lien_linkedin_rech,lien_linkedin_dirigeant,lien_pagesjaunes,lien_societe,lien_trustpilot,linkedin,domain,effectif,annee_effectif,categorie,nb_etablissements_ouverts,nb_etablissements,communes_etablissements,ca,ca_prev,resultat_net,annee_finances,anciennete,date_creation,nature_juridique,sigle,nom_commercial,employeur,entrepreneur_individuel,diffusion_protegee,labels,idcc,tva_intra,etat,signaux_bodacc,siren,siret,naf,adresse,latitude,longitude,email_source,email_perso,autres_emails,autres_dirigeants,a_site,web_fait,date_enrichi,source,ville
ANTOFENOL,A,83,a contacter,,,,,,,,,,,,data_etudes,Recherche-developpement en autres sciences physiques et naturelles,VEDENE,84270,84,Provence-Alpes-Cote d'Azur,08 11 83 11 37,contact@antofenol.com,mx_ok,FANNY ROLET,Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5|labels+5,https://antofenol.com,https://www.pappers.fr/entreprise/802796698,https://annuaire-entreprises.data.gouv.fr/entreprise/802796698,https://annuaire-entreprises.data.gouv.fr/annonces/802796698,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/802796698,https://annuaire-entreprises.data.gouv.fr/dirigeants/802796698,"https://www.google.com/maps?q=43.9668516783719,4.92504238790452",https://www.google.com/search?q=ANTOFENOL+VEDENE,https://news.google.com/search?hl=fr&q=%22ANTOFENOL%22,https://www.linkedin.com/search/results/companies/?keywords=ANTOFENOL,https://www.linkedin.com/search/results/people/?keywords=FANNY+ROLET+ANTOFENOL,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=ANTOFENOL&ou=VEDENE,https://www.societe.com/cgi-bin/search?champs=802796698,https://fr.trustpilot.com/review/antofenol.com,https://www.linkedin.com/company/antof%C3%A9nol,antofenol.com,10-19,2023,PME,3,4,,566788,,-931483,2024,12,2014-05-01,SAS,,,,non,non,Bio,1555,FR95802796698,active,,802796698,80279669800032,72.19Z,41 ALLEE DE GROMELLE 84270 VEDENE,43.9668516783719,4.92504238790452,site-generique,non,,BMA AUDIT (Commissaire aux comptes titulaire),oui,oui,2026-08-24,sirene,VEDENE
SQUALI,A,83,a contacter,,,,,,,,,,,,data_etudes,Recherche-developpement en autres sciences physiques et naturelles,BRON,69500,69,Auvergne-Rhone-Alpes,07 26 01 62 49,commercial@squali.fr,mx_ok,LUIS GEORGES QUINTELAS,Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5|labels+5,https://squali.fr,https://www.pappers.fr/entreprise/442299228,https://annuaire-entreprises.data.gouv.fr/entreprise/442299228,https://annuaire-entreprises.data.gouv.fr/annonces/442299228,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/442299228,https://annuaire-entreprises.data.gouv.fr/dirigeants/442299228,"https://www.google.com/maps?q=45.735328112072,4.93103505631606",https://www.google.com/search?q=SQUALI+BRON,https://news.google.com/search?hl=fr&q=%22SQUALI%22,https://www.linkedin.com/search/results/companies/?keywords=SQUALI,https://www.linkedin.com/search/results/people/?keywords=LUIS+GEORGES+QUINTELAS+SQUALI,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=SQUALI&ou=BRON,https://www.societe.com/cgi-bin/search?champs=442299228,https://fr.trustpilot.com/review/squali.fr,https://www.linkedin.com/company/squali,squali.fr,10-19,2023,PME,2,6,,3267519,,390109,2024,24,2002-06-01,SAS,,,,non,non,"Qualiopi, Organisme de formation",0044,FR67442299228,active,,442299228,44229922800068,72.19Z,ESPACE DU CHENE 32 RUE DU 35EME REGIMENT D'AVIATION 69500 BRON,45.735328112072,4.93103505631606,site-generique,non,technique@squali.fr; tracy.graphiste@gmail.com,,oui,oui,2026-09-01,sirene,BRON
SYNTECH RESEARCH FRANCE,A,78,a contacter,,,,,,,,,,,,data_etudes,Recherche-developpement en autres sciences physiques et naturelles,LA CHAPELLE-DE-GUINCHAY,71570,71,Bourgogne-Franche-Comte,03 85 36 82 36,info@syntechresearch.com,mx_ok,KPMG S.A,Commissaire aux comptes titulaire,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://syntechresearch.fr,https://www.pappers.fr/entreprise/441818465,https://annuaire-entreprises.data.gouv.fr/entreprise/441818465,https://annuaire-entreprises.data.gouv.fr/annonces/441818465,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/441818465,https://annuaire-entreprises.data.gouv.fr/dirigeants/441818465,"https://www.google.com/maps?q=46.221931565,4.7719673486",https://www.google.com/search?q=SYNTECH+RESEARCH+FRANCE+LA+CHAPELLE-DE-GUINCHAY,https://news.google.com/search?hl=fr&q=%22SYNTECH+RESEARCH+FRANCE%22,https://www.linkedin.com/search/results/companies/?keywords=SYNTECH+RESEARCH+FRANCE,https://www.linkedin.com/search/results/people/?keywords=KPMG+S.A+SYNTECH+RESEARCH+FRANCE,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=SYNTECH+RESEARCH+FRANCE&ou=LA+CHAPELLE-DE-GUINCHAY,https://www.societe.com/cgi-bin/search?champs=441818465,https://fr.trustpilot.com/review/syntechresearch.fr,https://fr.linkedin.com/company/syntechresearch,syntechresearch.fr,100-199,2023,PME,14,22,,17300951,,1908148,2024,24,2002-04-22,SAS,,,,non,non,,0044,FR71441818465,active,,441818465,44181846500011,72.19Z,BOIS DE LOYSE 71570 LA CHAPELLE-DE-GUINCHAY,46.221931565,4.7719673486,site-generique,non,,SYNTECH RESEARCH GROUP (Président de SAS),oui,oui,2026-08-09,sirene,LA CHAPELLE-DE-GUINCHAY
ALYCE,A,78,a contacter,,,,,,,,,,,,data_etudes,Etudes de marche et sondages,SCEAUX,92330,92,Ile-de-France,01 84 01 18 91,contact@alyce.fr,mx_ok,MARWAN CHEHIMI,Directeur Général,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://alyce.fr,https://www.pappers.fr/entreprise/429356884,https://annuaire-entreprises.data.gouv.fr/entreprise/429356884,https://annuaire-entreprises.data.gouv.fr/annonces/429356884,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/429356884,https://annuaire-entreprises.data.gouv.fr/dirigeants/429356884,"https://www.google.com/maps?q=48.779530505,2.28257025",https://www.google.com/search?q=ALYCE+SCEAUX,https://news.google.com/search?hl=fr&q=%22ALYCE%22,https://www.linkedin.com/search/results/companies/?keywords=ALYCE,https://www.linkedin.com/search/results/people/?keywords=MARWAN+CHEHIMI+ALYCE,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=ALYCE&ou=SCEAUX,https://www.societe.com/cgi-bin/search?champs=429356884,https://fr.trustpilot.com/review/alyce.fr,https://www.linkedin.com/company/alycemobility,alyce.fr,50-99,2023,PME,2,11,,12873874,,1102739,2024,26,2000-01-03,SAS,,,,non,non,,1486,FR01429356884,active,,429356884,42935688400107,73.20Z,196 RUE HOUDAN 92330 SCEAUX,48.779530505,2.28257025,site-generique,non,,BDO FRANCE - LÉGER ET ASSOCIÉS (Commissaire aux comptes titulaire); K2L (Président de SAS); DYNA AUDIT SAS (Commissaire aux comptes suppléant); HUMBLE BEE (Administrateur),oui,oui,2026-08-12,sirene,SCEAUX
CALLSON,A,78,a contacter,,,,,,,,,,,,data_etudes,Etudes de marche et sondages,PARIS,75018,75,Ile-de-France,01 70 39 22 00,contact@callson.fr,mx_ok,BENOIT FACHE,Commissaire aux comptes titulaire,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://callson.fr,https://www.pappers.fr/entreprise/444704332,https://annuaire-entreprises.data.gouv.fr/entreprise/444704332,https://annuaire-entreprises.data.gouv.fr/annonces/444704332,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/444704332,https://annuaire-entreprises.data.gouv.fr/dirigeants/444704332,"https://www.google.com/maps?q=48.891122544,2.3402821838",https://www.google.com/search?q=CALLSON+PARIS,https://news.google.com/search?hl=fr&q=%22CALLSON%22,https://www.linkedin.com/search/results/companies/?keywords=CALLSON,https://www.linkedin.com/search/results/people/?keywords=BENOIT+FACHE+CALLSON,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=CALLSON&ou=PARIS,https://www.societe.com/cgi-bin/search?champs=444704332,https://fr.trustpilot.com/review/callson.fr,https://www.linkedin.com/company/callson,callson.fr,20-49,2023,PME,2,4,,3389952,,151340,2016,23,2003-01-01,SAS,,,,non,non,,"9999, 1486",FR34444704332,active,,444704332,44470433200030,73.20Z,137 139 RUE MARCADET 75018 PARIS,48.891122544,2.3402821838,site-generique,non,reclamations@callson.fr,PIERRE EMMANUEL MORIN (Commissaire aux comptes suppléant); LAURENT POGGI (Président de SAS),oui,oui,2026-09-01,sirene,PARIS
GAMAC,A,78,a contacter,,,,,,,,,,,,data_etudes,"Traitement de donnees, hebergement et activites connexes",SAINT-MAURICE-LA-SOUTERRAINE,23300,23,Nouvelle-Aquitaine,05 55 63 12 63,contact@gamac.fr,mx_ok,LAURENT CHRISTIAN CITTON,Directeur Général,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|dirigeant+5|labels+5,https://gamac.fr,https://www.pappers.fr/entreprise/996450128,https://annuaire-entreprises.data.gouv.fr/entreprise/996450128,https://annuaire-entreprises.data.gouv.fr/annonces/996450128,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/996450128,https://annuaire-entreprises.data.gouv.fr/dirigeants/996450128,"https://www.google.com/maps?q=46.203701776,1.3947759676",https://www.google.com/search?q=GAMAC+SAINT-MAURICE-LA-SOUTERRAINE,https://news.google.com/search?hl=fr&q=%22GAMAC%22,https://www.linkedin.com/search/results/companies/?keywords=GAMAC,https://www.linkedin.com/search/results/people/?keywords=LAURENT+CHRISTIAN+CITTON+GAMAC,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=GAMAC&ou=SAINT-MAURICE-LA-SOUTERRAINE,https://www.societe.com/cgi-bin/search?champs=996450128,https://fr.trustpilot.com/review/gamac.fr,https://www.linkedin.com/company/gamac,gamac.fr,20-49,2023,ETI,2,2,,6033114,,-11459,2024,62,1964-01-01,SAS,GAMAC,,,non,non,"Qualiopi, Organisme de formation",1486,FR31996450128,active,,996450128,99645012800045,63.11Z,CENTRE D AFFAIRES ARZANA PARC D ACTIVITES DE LA CROISIERE 23300 SAINT-MAURICE-LA-SOUTERRAINE,46.203701776,1.3947759676,site-generique,non,,GILLES GROSSET (Commissaire aux comptes titulaire); THIERRY PRADEL (Commissaire aux comptes suppléant); PICOTY (Président de SAS),oui,oui,2026-08-24,sirene,SAINT-MAURICE-LA-SOUTERRAINE
HUBLO,A,78,a contacter,,,,,,,,,,,,data_etudes,"Traitement de donnees, hebergement et activites connexes",MONTREUIL,93100,93,Ile-de-France,04 32 93 04 12,contact@hublo.com,mx_ok,COMPAGNIE FIDUCIAIRE AUDIT,Commissaire aux comptes titulaire,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://hublo.com,https://www.pappers.fr/entreprise/822276986,https://annuaire-entreprises.data.gouv.fr/entreprise/822276986,https://annuaire-entreprises.data.gouv.fr/annonces/822276986,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/822276986,https://annuaire-entreprises.data.gouv.fr/dirigeants/822276986,"https://www.google.com/maps?q=48.8517517783165,2.42372431882805",https://www.google.com/search?q=HUBLO+MONTREUIL,https://news.google.com/search?hl=fr&q=%22HUBLO%22,https://www.linkedin.com/search/results/companies/?keywords=HUBLO,https://www.linkedin.com/search/results/people/?keywords=COMPAGNIE+FIDUCIAIRE+AUDIT+HUBLO,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=HUBLO&ou=MONTREUIL,https://www.societe.com/cgi-bin/search?champs=822276986,https://fr.trustpilot.com/review/hublo.com,https://www.linkedin.com/company/hublo-fr,hublo.com,100-199,2023,PME,2,6,,18928220,,-3326559,2024,10,2016-08-31,SAS,,HUBLO,,non,non,,1486,FR11822276986,active,,822276986,82227698600046,63.11Z,86 RUE VOLTAIRE 93100 MONTREUIL,48.8517517783165,2.42372431882805,site-generique,non,dpo@hublo.com,APERTURE BIDCO SAS (Président de SAS),oui,oui,2026-08-04,sirene,MONTREUIL
PIXWAYS,A,78,a contacter,,,,,,,,,,,,data_etudes,"Traitement de donnees, hebergement et activites connexes",CHARTRES,28000,28,Centre-Val de Loire,06 41 45 59 15,contact@pixways.com,mx_ok,CORSIANE,Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://pixways.fr,https://www.pappers.fr/entreprise/453749269,https://annuaire-entreprises.data.gouv.fr/entreprise/453749269,https://annuaire-entreprises.data.gouv.fr/annonces/453749269,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/453749269,https://annuaire-entreprises.data.gouv.fr/dirigeants/453749269,"https://www.google.com/maps?q=48.4509545178024,1.52937862646425",https://www.google.com/search?q=PIXWAYS+CHARTRES,https://news.google.com/search?hl=fr&q=%22PIXWAYS%22,https://www.linkedin.com/search/results/companies/?keywords=PIXWAYS,https://www.linkedin.com/search/results/people/?keywords=CORSIANE+PIXWAYS,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=PIXWAYS&ou=CHARTRES,https://www.societe.com/cgi-bin/search?champs=453749269,https://fr.trustpilot.com/review/pixways.fr,,pixways.fr,6-9,2023,PME,2,5,,1407514,,98862,2024,22,2004-05-25,SAS,,,,non,non,,,FR65453749269,active,,453749269,45374926900057,63.11Z,5 B AVENUE MARCEL PROUST 28000 CHARTRES,48.4509545178024,1.52937862646425,site-generique,non,info@pixways.com; strikingly@pixways.com; u003econtact@pixways.com,,oui,oui,2026-08-28,sirene,CHARTRES
TEMISTH SAS,A,78,a contacter,,,,,,,,,,,,data_etudes,Recherche-developpement en autres sciences physiques et naturelles,LAMBESC,13410,13,Provence-Alpes-Cote d'Azur,09 47 02 20 00,contact@temisth.com,mx_ok,JEAN-MICHEL HUGO,Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://temisth.com,https://www.pappers.fr/entreprise/752762872,https://annuaire-entreprises.data.gouv.fr/entreprise/752762872,https://annuaire-entreprises.data.gouv.fr/annonces/752762872,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/752762872,https://annuaire-entreprises.data.gouv.fr/dirigeants/752762872,"https://www.google.com/maps?q=43.6450638086964,5.25452218809633",https://www.google.com/search?q=TEMISTH+SAS+LAMBESC,https://news.google.com/search?hl=fr&q=%22TEMISTH+SAS%22,https://www.linkedin.com/search/results/companies/?keywords=TEMISTH+SAS,https://www.linkedin.com/search/results/people/?keywords=JEAN-MICHEL+HUGO+TEMISTH+SAS,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=TEMISTH+SAS&ou=LAMBESC,https://www.societe.com/cgi-bin/search?champs=752762872,https://fr.trustpilot.com/review/temisth.com,https://linkedin.com/company/temisth,temisth.com,6-9,2023,PME,2,3,,495549,,42532,2022,14,2012-07-02,SAS,,TEMISTH,,non,non,,1486,FR06752762872,active,,752762872,75276287200030,72.19Z,2 AVENUE RENE DUMONT LES RUCHES ZAC DE 96 CHEMIN DU VALLON ROUGE 13410 LAMBESC,43.6450638086964,5.25452218809633,site-generique,non,,FLORIANE POUSSE (Administrateur),oui,oui,2026-08-13,sirene,LAMBESC
OPAYLINK,A,75,a contacter,,,,,,,,,,,,data_etudes,"Traitement de donnees, hebergement et activites connexes",LYON,69007,69,Auvergne-Rhone-Alpes,04 72 76 84 96,dpo.rgpd@groupelip.com,mx_ok,GROUPE L.I.P.,Président de SAS,email+12|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5|labels+5,https://opaylink.fr,https://www.pappers.fr/entreprise/834679078,https://annuaire-entreprises.data.gouv.fr/entreprise/834679078,https://annuaire-entreprises.data.gouv.fr/annonces/834679078,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/834679078,https://annuaire-entreprises.data.gouv.fr/dirigeants/834679078,"https://www.google.com/maps?q=45.741561022,4.8482865118",https://www.google.com/search?q=OPAYLINK+LYON,https://news.google.com/search?hl=fr&q=%22OPAYLINK%22,https://www.linkedin.com/search/results/companies/?keywords=OPAYLINK,https://www.linkedin.com/search/results/people/?keywords=GROUPE+L.I.P.+OPAYLINK,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=OPAYLINK&ou=LYON,https://www.societe.com/cgi-bin/search?champs=834679078,https://fr.trustpilot.com/review/opaylink.fr,,opaylink.fr,6-9,2023,ETI,2,6,,1258959,,81176,2025,8,2018-01-03,SAS,,,,non,non,Organisme de formation,1486,FR94834679078,active,,834679078,83467907800057,63.11Z,33 RUE PAUL DUVIVIER 69007 LYON,45.741561022,4.8482865118,site,non,dpo.rgpd@opaylink.com,,oui,oui,2026-08-29,sirene,LYON
