nom,tier,score,statut,date_contact,canal,date_relance,notes,produit,montant_vendu,date_vente,paye,montant_encaisse,commission,statut_livraison,type,libelle,commune,cp,departement,region,telephone,email,email_status,dirigeant,qualite,raisons,lien_site,lien_pappers,lien_annuaire,lien_annonces,lien_finances,lien_dirigeants,lien_maps,lien_google,lien_google_news,lien_linkedin_rech,lien_linkedin_dirigeant,lien_pagesjaunes,lien_societe,lien_trustpilot,linkedin,domain,effectif,annee_effectif,categorie,nb_etablissements_ouverts,nb_etablissements,communes_etablissements,ca,ca_prev,resultat_net,annee_finances,anciennete,date_creation,nature_juridique,sigle,nom_commercial,employeur,entrepreneur_individuel,diffusion_protegee,labels,idcc,tva_intra,etat,signaux_bodacc,siren,siret,naf,adresse,latitude,longitude,email_source,email_perso,autres_emails,autres_dirigeants,a_site,web_fait,date_enrichi,source,ville
P.L. IMMOBILIER,A,78,a contacter,,,,,,,,,,,,immobilier,Agences immobilieres,PAMIERS,09100,09,Occitanie,06 46 21 75 48,contact@anm-mediation.com,mx_ok,SANDRINE SOPHIE STÉPHANIE VERSILLE (CROSSOUARD),Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://plimmobilier.com,https://www.pappers.fr/entreprise/488857251,https://annuaire-entreprises.data.gouv.fr/entreprise/488857251,https://annuaire-entreprises.data.gouv.fr/annonces/488857251,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/488857251,https://annuaire-entreprises.data.gouv.fr/dirigeants/488857251,"https://www.google.com/maps?q=43.1050941411036,1.62082412321054",https://www.google.com/search?q=P.L.+IMMOBILIER+PAMIERS,https://news.google.com/search?hl=fr&q=%22P.L.+IMMOBILIER%22,https://www.linkedin.com/search/results/companies/?keywords=P.L.+IMMOBILIER,https://www.linkedin.com/search/results/people/?keywords=SANDRINE+SOPHIE+ST%C3%89PHANIE+VERSILLE+%28CROSSOUARD%29+P.L.+IMMOBILIER,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=P.L.+IMMOBILIER&ou=PAMIERS,https://www.societe.com/cgi-bin/search?champs=488857251,https://fr.trustpilot.com/review/plimmobilier.com,,plimmobilier.com,6-9,2023,GE,14,18,,402254,,-180221,2024,20,2006-02-10,SAS,,,,non,non,,1527,FR53488857251,active,,488857251,48885725100174,68.31Z,LIEU-DIT MOUCHET BATIMENT SQUARE HABIT ROUTE DE MIREPOIX 09100 PAMIERS,43.1050941411036,1.62082412321054,site-generique,non,,MANUEL LOZANO (Directeur Général); KPMG S.A. (Commissaire aux comptes titulaire),oui,oui,2026-08-08,sirene,PAMIERS
LIINS,A,78,a contacter,,,,,,,,,,,,immobilier,Agences immobilieres,PARIS,75017,75,Ile-de-France,01 53 90 50 50,contact@liins.com,mx_ok,HERVE DE GALBERT,Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://liins.fr,https://www.pappers.fr/entreprise/440449916,https://annuaire-entreprises.data.gouv.fr/entreprise/440449916,https://annuaire-entreprises.data.gouv.fr/annonces/440449916,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/440449916,https://annuaire-entreprises.data.gouv.fr/dirigeants/440449916,"https://www.google.com/maps?q=48.8820356023528,2.28883035642492",https://www.google.com/search?q=LIINS+PARIS,https://news.google.com/search?hl=fr&q=%22LIINS%22,https://www.linkedin.com/search/results/companies/?keywords=LIINS,https://www.linkedin.com/search/results/people/?keywords=HERVE+DE+GALBERT+LIINS,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=LIINS&ou=PARIS,https://www.societe.com/cgi-bin/search?champs=440449916,https://fr.trustpilot.com/review/liins.fr,https://www.linkedin.com/company/liins-cgp,liins.fr,20-49,2023,ETI,9,33,,4442489,,-2410165,2024,25,2001-12-12,SAS,,,,non,non,,1527,FR46440449916,active,,440449916,44044991600343,68.31Z,34 RUE GUERSANT 75017 PARIS,48.8820356023528,2.28883035642492,site-generique,non,,,oui,oui,2026-08-04,sirene,PARIS
BOOST YOUR IMMO,A,78,a contacter,,,,,,,,,,,,immobilier,Agences immobilieres,SIX-FOURS-LES-PLAGES,83140,83,Provence-Alpes-Cote d'Azur,04 83 73 96 76,info@apst.travel,mx_ok,NICOLAS MAXIME BEAURIAN,Gérant,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://boostyourimmo.com,https://www.pappers.fr/entreprise/830577326,https://annuaire-entreprises.data.gouv.fr/entreprise/830577326,https://annuaire-entreprises.data.gouv.fr/annonces/830577326,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/830577326,https://annuaire-entreprises.data.gouv.fr/dirigeants/830577326,"https://www.google.com/maps?q=43.109177309003,5.84249267662324",https://www.google.com/search?q=BOOST+YOUR+IMMO+SIX-FOURS-LES-PLAGES,https://news.google.com/search?hl=fr&q=%22BOOST+YOUR+IMMO%22,https://www.linkedin.com/search/results/companies/?keywords=BOOST+YOUR+IMMO,https://www.linkedin.com/search/results/people/?keywords=NICOLAS+MAXIME+BEAURIAN+BOOST+YOUR+IMMO,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=BOOST+YOUR+IMMO&ou=SIX-FOURS-LES-PLAGES,https://www.societe.com/cgi-bin/search?champs=830577326,https://fr.trustpilot.com/review/boostyourimmo.com,https://www.linkedin.com/company/26905654,boostyourimmo.com,20-49,2023,PME,5,9,,700190,,-578301,2025,9,2017-07-01,SARL,,,,non,non,,1527,FR64830577326,active,,830577326,83057732600093,68.31Z,165 CHEMIN DES NEGADOUX 83140 SIX-FOURS-LES-PLAGES,43.109177309003,5.84249267662324,site-generique,non,serviceclients@maeva.com,,oui,oui,2026-08-03,sirene,SIX-FOURS-LES-PLAGES
IMMOBILIER CHAVANNE,A,78,a contacter,,,,,,,,,,,,immobilier,Agences immobilieres,LAVAUR,81500,81,Occitanie,05 63 58 36 92,contact@immobilierchavanne-sothebysrealty.com,mx_ok,MARIE-CELINE EDITH GARNIER-CHAVANNE,Gérant et associé indéfiniment responsable,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://immobilierchavanne.fr,https://www.pappers.fr/entreprise/485216709,https://annuaire-entreprises.data.gouv.fr/entreprise/485216709,https://annuaire-entreprises.data.gouv.fr/annonces/485216709,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/485216709,https://annuaire-entreprises.data.gouv.fr/dirigeants/485216709,"https://www.google.com/maps?q=43.697174887,1.8154484058",https://www.google.com/search?q=IMMOBILIER+CHAVANNE+LAVAUR,https://news.google.com/search?hl=fr&q=%22IMMOBILIER+CHAVANNE%22,https://www.linkedin.com/search/results/companies/?keywords=IMMOBILIER+CHAVANNE,https://www.linkedin.com/search/results/people/?keywords=MARIE-CELINE+EDITH+GARNIER-CHAVANNE+IMMOBILIER+CHAVANNE,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=IMMOBILIER+CHAVANNE&ou=LAVAUR,https://www.societe.com/cgi-bin/search?champs=485216709,https://fr.trustpilot.com/review/immobilierchavanne.fr,,immobilierchavanne.fr,6-9,2023,PME,3,3,,1262780,,16433,2022,21,2005-11-24,SARL,,,,non,non,,1527,FR45485216709,active,,485216709,48521670900017,68.31Z,8-10 8 AVENUE PIERRE FABRE 81500 LAVAUR,43.697174887,1.8154484058,site-generique,non,contact@medimmoconso.fr; contact@midipyrenees-sothebysrealty.com,,oui,oui,2026-08-25,sirene,LAVAUR
ACCESS PRO,A,78,a contacter,,,,,,,,,,,,immobilier,Agences immobilieres,VICHY,03200,03,Auvergne-Rhone-Alpes,06 27 37 78 45,contact@accesspro.fr,mx_ok,FLORENT PIERRE HOURQUEBIE,Gérant et associé indéfiniment responsable,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://accesspro.fr,https://www.pappers.fr/entreprise/523872356,https://annuaire-entreprises.data.gouv.fr/entreprise/523872356,https://annuaire-entreprises.data.gouv.fr/annonces/523872356,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/523872356,https://annuaire-entreprises.data.gouv.fr/dirigeants/523872356,"https://www.google.com/maps?q=46.12633576,3.4213007711",https://www.google.com/search?q=ACCESS+PRO+VICHY,https://news.google.com/search?hl=fr&q=%22ACCESS+PRO%22,https://www.linkedin.com/search/results/companies/?keywords=ACCESS+PRO,https://www.linkedin.com/search/results/people/?keywords=FLORENT+PIERRE+HOURQUEBIE+ACCESS+PRO,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=ACCESS+PRO&ou=VICHY,https://www.societe.com/cgi-bin/search?champs=523872356,https://fr.trustpilot.com/review/accesspro.fr,,accesspro.fr,10-19,2023,PME,2,3,,804903,,-21868,2023,16,2010-07-20,SARL,,ACCESS PRO,,non,non,,,FR91523872356,active,,523872356,52387235600010,68.31Z,20 RUE LUCAS 03200 VICHY,46.12633576,3.4213007711,site-generique,non,contact@la-boite-immo.com,,oui,oui,2026-08-03,sirene,VICHY
AGENCE DU CENTRE,A,78,a contacter,,,,,,,,,,,,immobilier,Agences immobilieres,AVIGNON,84000,84,Provence-Alpes-Cote d'Azur,01 45 96 45 91,contact@agenceducentre.fr,mx_ok,PHILIPPE GAUTHIER,Gérant,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://agenceducentre.fr,https://www.pappers.fr/entreprise/449563931,https://annuaire-entreprises.data.gouv.fr/entreprise/449563931,https://annuaire-entreprises.data.gouv.fr/annonces/449563931,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/449563931,https://annuaire-entreprises.data.gouv.fr/dirigeants/449563931,"https://www.google.com/maps?q=43.945075677,4.8073248249",https://www.google.com/search?q=AGENCE+DU+CENTRE+AVIGNON,https://news.google.com/search?hl=fr&q=%22AGENCE+DU+CENTRE%22,https://www.linkedin.com/search/results/companies/?keywords=AGENCE+DU+CENTRE,https://www.linkedin.com/search/results/people/?keywords=PHILIPPE+GAUTHIER+AGENCE+DU+CENTRE,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=AGENCE+DU+CENTRE&ou=AVIGNON,https://www.societe.com/cgi-bin/search?champs=449563931,https://fr.trustpilot.com/review/agenceducentre.fr,https://www.linkedin.com/company/agence-du-centre-amiens,agenceducentre.fr,3-5,2023,PME,2,4,,1271138,,68160,2022,23,2003-09-01,SARL,,BONFILS IMMOBILIER,,non,non,,1527,FR22449563931,active,,449563931,44956393100046,68.31Z,2 PLACE DES CORPS-SAINTS 84000 AVIGNON,43.945075677,4.8073248249,site-generique,non,contact@la-boite-immo.com; transaction@agenceducentre.fr,,oui,oui,2026-08-30,sirene,AVIGNON
AGENCIA,A,78,a contacter,,,,,,,,,,,,immobilier,Agences immobilieres,CANNES,06400,06,Provence-Alpes-Cote d'Azur,06 10 43 52 61,contact@agencia.fr,mx_ok,EMMANUEL PORRI,Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://agencia.fr,https://www.pappers.fr/entreprise/404269151,https://annuaire-entreprises.data.gouv.fr/entreprise/404269151,https://annuaire-entreprises.data.gouv.fr/annonces/404269151,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/404269151,https://annuaire-entreprises.data.gouv.fr/dirigeants/404269151,"https://www.google.com/maps?q=43.548738369,7.0123001475",https://www.google.com/search?q=AGENCIA+CANNES,https://news.google.com/search?hl=fr&q=%22AGENCIA%22,https://www.linkedin.com/search/results/companies/?keywords=AGENCIA,https://www.linkedin.com/search/results/people/?keywords=EMMANUEL+PORRI+AGENCIA,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=AGENCIA&ou=CANNES,https://www.societe.com/cgi-bin/search?champs=404269151,https://fr.trustpilot.com/review/agencia.fr,,agencia.fr,6-9,2023,PME,2,4,,579993,,58936,2019,30,1996-04-01,SAS,,AGENCIA IMMOBILIER,,non,non,,1527,FR72404269151,active,,404269151,40426915100035,68.31Z,21 QUAI SAINT-PIERRE 06400 CANNES,43.548738369,7.0123001475,site-generique,non,davidammar@agencia.fr,,oui,oui,2026-08-05,sirene,CANNES
AGIMMO,A,78,a contacter,,,,,,,,,,,,immobilier,Agences immobilieres,PARIS,75015,75,Ile-de-France,01 89 81 71 61,contact@agimmo.fr,mx_ok,M2AF,Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://agimmo.fr,https://www.pappers.fr/entreprise/413193681,https://annuaire-entreprises.data.gouv.fr/entreprise/413193681,https://annuaire-entreprises.data.gouv.fr/annonces/413193681,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/413193681,https://annuaire-entreprises.data.gouv.fr/dirigeants/413193681,"https://www.google.com/maps?q=48.833835399,2.3086002888",https://www.google.com/search?q=AGIMMO+PARIS,https://news.google.com/search?hl=fr&q=%22AGIMMO%22,https://www.linkedin.com/search/results/companies/?keywords=AGIMMO,https://www.linkedin.com/search/results/people/?keywords=M2AF+AGIMMO,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=AGIMMO&ou=PARIS,https://www.societe.com/cgi-bin/search?champs=413193681,https://fr.trustpilot.com/review/agimmo.fr,https://www.linkedin.com/company/agimmo-vote-electronique-copropriete,agimmo.fr,3-5,2023,PME,2,3,,334460,,-36117,2020,29,1997-07-29,SAS,,AGIMMO,,non,non,,,FR13413193681,active,,413193681,41319368100025,68.31Z,49 RUE DE VOUILLE 75015 PARIS,48.833835399,2.3086002888,site-generique,non,,EFFIART CONSULTING (Directeur Général),oui,oui,2026-08-20,sirene,PARIS
IGC IMMOBILIER,A,78,a contacter,,,,,,,,,,,,immobilier,Agences immobilieres,CHATEAUNEUF-LES-MARTIGUES,13220,13,Provence-Alpes-Cote d'Azur,04 42 44 52 45,contact@igcimmobilier.fr,mx_ok,VIRGINIE BRODA,Gérant,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://igcimmobilier.fr,https://www.pappers.fr/entreprise/818527152,https://annuaire-entreprises.data.gouv.fr/entreprise/818527152,https://annuaire-entreprises.data.gouv.fr/annonces/818527152,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/818527152,https://annuaire-entreprises.data.gouv.fr/dirigeants/818527152,"https://www.google.com/maps?q=43.388246971,5.1710027697",https://www.google.com/search?q=IGC+IMMOBILIER+CHATEAUNEUF-LES-MARTIGUES,https://news.google.com/search?hl=fr&q=%22IGC+IMMOBILIER%22,https://www.linkedin.com/search/results/companies/?keywords=IGC+IMMOBILIER,https://www.linkedin.com/search/results/people/?keywords=VIRGINIE+BRODA+IGC+IMMOBILIER,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=IGC+IMMOBILIER&ou=CHATEAUNEUF-LES-MARTIGUES,https://www.societe.com/cgi-bin/search?champs=818527152,https://fr.trustpilot.com/review/igcimmobilier.fr,https://www.linkedin.com/company/igc-immobilier,igcimmobilier.fr,3-5,2023,PME,2,2,,589959,,140282,2024,10,2016-03-15,SARL,,,,non,non,,1527,FR84818527152,active,,818527152,81852715200016,68.31Z,BOULEVARD PIERRE MENDES FRANCE 13220 CHATEAUNEUF-LES-MARTIGUES,43.388246971,5.1710027697,site-generique,non,,ARNAUD FRANCIS PHILIPPE DURIVAL (Gérant); DAVID JOS FERNANDEZ (Gérant),oui,oui,2026-08-12,sirene,CHATEAUNEUF-LES-MARTIGUES
INTEGRAL IMMOBILIER,A,78,a contacter,,,,,,,,,,,,immobilier,Agences immobilieres,CUGNAUX,31270,31,Occitanie,05 61 92 05 08,contact@la-boite-immo.com,mx_ok,FRANCOIS JULIEN LATTEUX,Directeur Général,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://integralimmobilier.net,https://www.pappers.fr/entreprise/753946904,https://annuaire-entreprises.data.gouv.fr/entreprise/753946904,https://annuaire-entreprises.data.gouv.fr/annonces/753946904,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/753946904,https://annuaire-entreprises.data.gouv.fr/dirigeants/753946904,"https://www.google.com/maps?q=43.537401662,1.3449903814",https://www.google.com/search?q=INTEGRAL+IMMOBILIER+CUGNAUX,https://news.google.com/search?hl=fr&q=%22INTEGRAL+IMMOBILIER%22,https://www.linkedin.com/search/results/companies/?keywords=INTEGRAL+IMMOBILIER,https://www.linkedin.com/search/results/people/?keywords=FRANCOIS+JULIEN+LATTEUX+INTEGRAL+IMMOBILIER,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=INTEGRAL+IMMOBILIER&ou=CUGNAUX,https://www.societe.com/cgi-bin/search?champs=753946904,https://fr.trustpilot.com/review/integralimmobilier.net,,integralimmobilier.net,6-9,2023,PME,2,3,,1784741,,139,2024,14,2012-09-03,SAS,,,,non,non,,1527,FR59753946904,active,,753946904,75394690400020,68.31Z,4 AVENUE DE TOULOUSE 31270 CUGNAUX,43.537401662,1.3449903814,site-generique,non,admin@integral-immobilier.net,MICKAEL MENDES (Président de SAS),oui,oui,2026-09-01,sirene,CUGNAUX
