nom,tier,score,statut,date_contact,canal,date_relance,notes,produit,montant_vendu,date_vente,paye,montant_encaisse,commission,statut_livraison,type,libelle,commune,cp,departement,region,telephone,email,email_status,dirigeant,qualite,raisons,lien_site,lien_pappers,lien_annuaire,lien_annonces,lien_finances,lien_dirigeants,lien_maps,lien_google,lien_google_news,lien_linkedin_rech,lien_linkedin_dirigeant,lien_pagesjaunes,lien_societe,lien_trustpilot,linkedin,domain,effectif,annee_effectif,categorie,nb_etablissements_ouverts,nb_etablissements,communes_etablissements,ca,ca_prev,resultat_net,annee_finances,anciennete,date_creation,nature_juridique,sigle,nom_commercial,employeur,entrepreneur_individuel,diffusion_protegee,labels,idcc,tva_intra,etat,signaux_bodacc,siren,siret,naf,adresse,latitude,longitude,email_source,email_perso,autres_emails,autres_dirigeants,a_site,web_fait,date_enrichi,source,ville
CYBERG,A,83,a contacter,,,,,,,,,,,,saas_web,Programmation informatique,ANNONAY,07100,07,Auvergne-Rhone-Alpes,04 69 02 99 20,contact@cyberg.fr,mx_ok,JIM,Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5|labels+5,https://cyberg.fr,https://www.pappers.fr/entreprise/792907750,https://annuaire-entreprises.data.gouv.fr/entreprise/792907750,https://annuaire-entreprises.data.gouv.fr/annonces/792907750,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/792907750,https://annuaire-entreprises.data.gouv.fr/dirigeants/792907750,"https://www.google.com/maps?q=45.2414733853356,4.67427833307729",https://www.google.com/search?q=CYBERG+ANNONAY,https://news.google.com/search?hl=fr&q=%22CYBERG%22,https://www.linkedin.com/search/results/companies/?keywords=CYBERG,https://www.linkedin.com/search/results/people/?keywords=JIM+CYBERG,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=CYBERG&ou=ANNONAY,https://www.societe.com/cgi-bin/search?champs=792907750,https://fr.trustpilot.com/review/cyberg.fr,https://www.linkedin.com/company/cyberg,cyberg.fr,20-49,2023,PME,3,4,,2612474,,150816,2024,13,2013-04-22,SAS,,,,non,non,"Qualiopi, Organisme de formation",1486,FR22792907750,active,,792907750,79290775000022,62.01Z,8 BOULEVARD DE LA REPUBLIQUE 07100 ANNONAY,45.2414733853356,4.67427833307729,site-generique,non,cybersecurite@cyberg.fr; jean.dupont@entreprise.fr,,oui,oui,2026-08-08,sirene,ANNONAY
INCOMM,A,78,a contacter,,,,,,,,,,,,saas_web,Programmation informatique,ARTIGUES-PRES-BORDEAUX,33370,33,Nouvelle-Aquitaine,05 35 54 90 11,contact@incomm.fr,mx_ok,DOMINIQUE DA ROS,Commissaire aux comptes suppléant,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://incomm.fr,https://www.pappers.fr/entreprise/479144438,https://annuaire-entreprises.data.gouv.fr/entreprise/479144438,https://annuaire-entreprises.data.gouv.fr/annonces/479144438,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/479144438,https://annuaire-entreprises.data.gouv.fr/dirigeants/479144438,"https://www.google.com/maps?q=44.853342,-0.503041406",https://www.google.com/search?q=INCOMM+ARTIGUES-PRES-BORDEAUX,https://news.google.com/search?hl=fr&q=%22INCOMM%22,https://www.linkedin.com/search/results/companies/?keywords=INCOMM,https://www.linkedin.com/search/results/people/?keywords=DOMINIQUE+DA+ROS+INCOMM,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=INCOMM&ou=ARTIGUES-PRES-BORDEAUX,https://www.societe.com/cgi-bin/search?champs=479144438,https://fr.trustpilot.com/review/incomm.fr,https://www.linkedin.com/company/incomm-agence-web,incomm.fr,50-99,2023,PME,15,48,,9617458,,-175093,2021,22,2004-10-19,SAS,,,,non,non,,"1486, 9999",FR26479144438,active,,479144438,47914443800161,62.01Z,PARC AQUILAE IMM CELADON ETAGE 2 2 RUE DE LA BLANCHERIE 33370 ARTIGUES-PRES-BORDEAUX,44.853342,-0.503041406,site-generique,non,incomm.wordpress@gmail.com,AIME N'GUETTA (Président de SAS); BDM AUDIT (Commissaire aux comptes titulaire),oui,oui,2026-08-02,sirene,ARTIGUES-PRES-BORDEAUX
AUTOPROG,A,78,a contacter,,,,,,,,,,,,saas_web,Programmation informatique,LA CHAPELLE-SAINT-LUC,10600,10,Grand Est,01 36 23 35 81,contact@autoprog.fr,mx_ok,SOBIECKI HOLDING,Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://autoprog.fr,https://www.pappers.fr/entreprise/434076535,https://annuaire-entreprises.data.gouv.fr/entreprise/434076535,https://annuaire-entreprises.data.gouv.fr/annonces/434076535,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/434076535,https://annuaire-entreprises.data.gouv.fr/dirigeants/434076535,"https://www.google.com/maps?q=48.313326037,4.0276235877",https://www.google.com/search?q=AUTOPROG+LA+CHAPELLE-SAINT-LUC,https://news.google.com/search?hl=fr&q=%22AUTOPROG%22,https://www.linkedin.com/search/results/companies/?keywords=AUTOPROG,https://www.linkedin.com/search/results/people/?keywords=SOBIECKI+HOLDING+AUTOPROG,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=AUTOPROG&ou=LA+CHAPELLE-SAINT-LUC,https://www.societe.com/cgi-bin/search?champs=434076535,https://fr.trustpilot.com/review/autoprog.fr,https://www.linkedin.com/company/autoprog,autoprog.fr,20-49,2023,PME,3,7,,4002343,,-48994,2024,25,2001-01-01,SAS,,,,non,non,,1486,FR58434076535,active,,434076535,43407653500047,62.01Z,20 B RUE DES PRES DE LYON 10600 LA CHAPELLE-SAINT-LUC,48.313326037,4.0276235877,site-generique,non,contact@autoprog.frnum; recrutement@autoprog.fr,,oui,oui,2026-08-09,sirene,LA CHAPELLE-SAINT-LUC
GREENERWAVE,A,78,a contacter,,,,,,,,,,,,saas_web,Programmation informatique,PARIS,75002,75,Ile-de-France,01 42 36 73 20,contact@greenerwave.com,mx_ok,ALEXANDRE MATHIAS FINK,Autre,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://greenerwave.com,https://www.pappers.fr/entreprise/814901872,https://annuaire-entreprises.data.gouv.fr/entreprise/814901872,https://annuaire-entreprises.data.gouv.fr/annonces/814901872,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/814901872,https://annuaire-entreprises.data.gouv.fr/dirigeants/814901872,"https://www.google.com/maps?q=48.869895954,2.3461831433",https://www.google.com/search?q=GREENERWAVE+PARIS,https://news.google.com/search?hl=fr&q=%22GREENERWAVE%22,https://www.linkedin.com/search/results/companies/?keywords=GREENERWAVE,https://www.linkedin.com/search/results/people/?keywords=ALEXANDRE+MATHIAS+FINK+GREENERWAVE,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=GREENERWAVE&ou=PARIS,https://www.societe.com/cgi-bin/search?champs=814901872,https://fr.trustpilot.com/review/greenerwave.com,https://www.linkedin.com/company/greenerwave,greenerwave.com,50-99,2023,PME,3,6,,3420305,,366094,2024,11,2015-11-20,SAS,,,,non,non,,1486,FR78814901872,active,,814901872,81490187200048,62.01Z,35 RUE DU SENTIER 75002 PARIS,48.869895954,2.3461831433,site-generique,non,,GEOFFROY LOUIS GABRIEL LEROSEY (Président de SAS); HERVE MULTON (Autre); BPIFRANCE INVESTISSEMENT (Autre); SAFRAN CORPORATE VENTURES (Autre),oui,oui,2026-08-04,sirene,PARIS
ALPHA SYSTEM,A,78,a contacter,,,,,,,,,,,,saas_web,Programmation informatique,PARIS,75011,75,Ile-de-France,06 52 24 50 06,support@silvertracsoftware.com,mx_ok,ERIC GIDEL,Commissaire aux comptes titulaire,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://alphasystem.fr,https://www.pappers.fr/entreprise/432430304,https://annuaire-entreprises.data.gouv.fr/entreprise/432430304,https://annuaire-entreprises.data.gouv.fr/annonces/432430304,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/432430304,https://annuaire-entreprises.data.gouv.fr/dirigeants/432430304,"https://www.google.com/maps?q=48.858278886622,2.37785587131617",https://www.google.com/search?q=ALPHA+SYSTEM+PARIS,https://news.google.com/search?hl=fr&q=%22ALPHA+SYSTEM%22,https://www.linkedin.com/search/results/companies/?keywords=ALPHA+SYSTEM,https://www.linkedin.com/search/results/people/?keywords=ERIC+GIDEL+ALPHA+SYSTEM,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=ALPHA+SYSTEM&ou=PARIS,https://www.societe.com/cgi-bin/search?champs=432430304,https://fr.trustpilot.com/review/alphasystem.fr,https://www.linkedin.com/company/trackforcesolutions,alphasystem.fr,20-49,2023,PME,2,9,,13261410,,653276,2024,26,2000-08-01,SAS,,TRACKFORCE,,non,non,,1486,FR23432430304,active,,432430304,43243030400092,62.01Z,72 RUE SEDAINE 75011 PARIS,48.858278886622,2.37785587131617,site-generique,non,dpo@trackforce.com; support@trackforce.com; support@tracktik.com,BYRON SCOTT MCDUFFEE (Président de SAS); MANUEL JACQUES B MESTRÉ (Directeur Général); @COM.AUDIT-ILE DE FRANCE (Commissaire aux comptes suppléant),oui,oui,2026-08-02,sirene,PARIS
AMBITION INFORMATIQUE,A,78,a contacter,,,,,,,,,,,,saas_web,Programmation informatique,MANZIAT,01570,01,Auvergne-Rhone-Alpes,05 21 10 22 09,contact@ambitioninformatique.fr,mx_ok,CEDRIC JACQUES MAILLARD,Gérant,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://ambitioninformatique.fr,https://www.pappers.fr/entreprise/824620587,https://annuaire-entreprises.data.gouv.fr/entreprise/824620587,https://annuaire-entreprises.data.gouv.fr/annonces/824620587,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/824620587,https://annuaire-entreprises.data.gouv.fr/dirigeants/824620587,"https://www.google.com/maps?q=46.359077025,4.9067399916",https://www.google.com/search?q=AMBITION+INFORMATIQUE+MANZIAT,https://news.google.com/search?hl=fr&q=%22AMBITION+INFORMATIQUE%22,https://www.linkedin.com/search/results/companies/?keywords=AMBITION+INFORMATIQUE,https://www.linkedin.com/search/results/people/?keywords=CEDRIC+JACQUES+MAILLARD+AMBITION+INFORMATIQUE,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=AMBITION+INFORMATIQUE&ou=MANZIAT,https://www.societe.com/cgi-bin/search?champs=824620587,https://fr.trustpilot.com/review/ambitioninformatique.fr,,ambitioninformatique.fr,3-5,2023,PME,2,3,,866472,,25112,2023,10,2016-12-14,SARL,,,,non,non,,1686,FR60824620587,active,,824620587,82462058700017,62.01Z,25 RUE DE L’EGLISE 01570 MANZIAT,46.359077025,4.9067399916,site-generique,non,,RICHARD GEORGES PIERRE SCHMITT (Gérant),oui,oui,2026-08-01,sirene,MANZIAT
PREVENTEO,A,78,a contacter,,,,,,,,,,,,saas_web,Programmation informatique,LE CANNET,06110,06,Provence-Alpes-Cote d'Azur,04 22 23 70 00,infocom@preventeo.com,mx_ok,JEAN-MARC RALLO,Gérant,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://preventeo.com,https://www.pappers.fr/entreprise/478822653,https://annuaire-entreprises.data.gouv.fr/entreprise/478822653,https://annuaire-entreprises.data.gouv.fr/annonces/478822653,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/478822653,https://annuaire-entreprises.data.gouv.fr/dirigeants/478822653,"https://www.google.com/maps?q=43.5762466684335,7.0237327279475",https://www.google.com/search?q=PREVENTEO+LE+CANNET,https://news.google.com/search?hl=fr&q=%22PREVENTEO%22,https://www.linkedin.com/search/results/companies/?keywords=PREVENTEO,https://www.linkedin.com/search/results/people/?keywords=JEAN-MARC+RALLO+PREVENTEO,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=PREVENTEO&ou=LE+CANNET,https://www.societe.com/cgi-bin/search?champs=478822653,https://fr.trustpilot.com/review/preventeo.com,https://www.linkedin.com/company/preventeo,preventeo.com,20-49,2023,PME,2,3,,6654980,,1169649,2024,22,2004-09-01,SARL,,,,non,non,,,FR15478822653,active,,478822653,47882265300026,62.01Z,6 RUE DE L'ABREUVAGE 06110 LE CANNET,43.5762466684335,7.0237327279475,site-generique,non,,,oui,oui,2026-08-05,sirene,LE CANNET
SCALEDEV,A,78,a contacter,,,,,,,,,,,,saas_web,Programmation informatique,SAINT-ANDRE-LES-VERGERS,10120,10,Grand Est,03 74 47 07 07,direction@scaledev.fr,mx_ok,THOMAS ANDRE MICHEL HERISSON,Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5,https://scaledev.fr,https://www.pappers.fr/entreprise/804900397,https://annuaire-entreprises.data.gouv.fr/entreprise/804900397,https://annuaire-entreprises.data.gouv.fr/annonces/804900397,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/804900397,https://annuaire-entreprises.data.gouv.fr/dirigeants/804900397,"https://www.google.com/maps?q=48.279442302,4.0637191383",https://www.google.com/search?q=SCALEDEV+SAINT-ANDRE-LES-VERGERS,https://news.google.com/search?hl=fr&q=%22SCALEDEV%22,https://www.linkedin.com/search/results/companies/?keywords=SCALEDEV,https://www.linkedin.com/search/results/people/?keywords=THOMAS+ANDRE+MICHEL+HERISSON+SCALEDEV,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=SCALEDEV&ou=SAINT-ANDRE-LES-VERGERS,https://www.societe.com/cgi-bin/search?champs=804900397,https://fr.trustpilot.com/review/scaledev.fr,https://fr.linkedin.com/company/scaledev,scaledev.fr,10-19,2023,PME,2,3,,521545,,54832,2022,12,2014-10-01,SAS,,TOP CONSOMMABLES - TOP BUREAU - CREAWEB06,,non,non,,1486,FR81804900397,active,,804900397,80490039700030,62.01Z,12 RUE CHARLES MORET 10120 SAINT-ANDRE-LES-VERGERS,48.279442302,4.0637191383,site-generique,non,commercial@scaledev.fr; contact@scaledev.fr; exemple@exemple.fr; support@scaledev.fr,BENJAMIN ANDRE CLEMENT PESCHEUX (Directeur Général); SCALESPHERE (Président de SAS),oui,oui,2026-08-09,sirene,SAINT-ANDRE-LES-VERGERS
YPOK,A,75,a contacter,,,,,,,,,,,,saas_web,Programmation informatique,PARIS,75001,75,Ile-de-France,04 72 26 06 86,ypok@ypok.com,mx_ok,EUGENIE FRAIOLI (CHOBE),Directeur général délégué,email+12|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5|labels+5,https://ypok.com,https://www.pappers.fr/entreprise/434940763,https://annuaire-entreprises.data.gouv.fr/entreprise/434940763,https://annuaire-entreprises.data.gouv.fr/annonces/434940763,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/434940763,https://annuaire-entreprises.data.gouv.fr/dirigeants/434940763,"https://www.google.com/maps?q=48.859562721,2.3467217205",https://www.google.com/search?q=YPOK+PARIS,https://news.google.com/search?hl=fr&q=%22YPOK%22,https://www.linkedin.com/search/results/companies/?keywords=YPOK,https://www.linkedin.com/search/results/people/?keywords=EUGENIE+FRAIOLI+%28CHOBE%29+YPOK,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=YPOK&ou=PARIS,https://www.societe.com/cgi-bin/search?champs=434940763,https://fr.trustpilot.com/review/ypok.com,https://www.linkedin.com/company/ypokfrance,ypok.com,20-49,2023,PME,3,7,,3520381,,379141,2024,25,2001-02-21,SAS,,,,non,non,Organisme de formation,,FR29434940763,active,,434940763,43494076300064,62.01Z,9 RUE DES HALLES 75001 PARIS,48.859562721,2.3467217205,site,non,,AURELIE CHOBÉ (Directeur général délégué); R.R. FINANCES (Président de SAS),oui,oui,2026-08-01,sirene,PARIS
WIZIO,A,75,a contacter,,,,,,,,,,,,saas_web,Programmation informatique,LYON,69003,69,Auvergne-Rhone-Alpes,04 81 91 69 69,service-clients@wizio.fr,mx_ok,ATOMIC FINANCES,Président de SAS,email+12|tel+10|ca+15|effectif+10|categorie+5|multi-sites+8|anciennete+5|dirigeant+5|labels+5,https://wizio.fr,https://www.pappers.fr/entreprise/530294735,https://annuaire-entreprises.data.gouv.fr/entreprise/530294735,https://annuaire-entreprises.data.gouv.fr/annonces/530294735,https://annuaire-entreprises.data.gouv.fr/donnees-financieres/530294735,https://annuaire-entreprises.data.gouv.fr/dirigeants/530294735,"https://www.google.com/maps?q=45.7608887599511,4.85389869294602",https://www.google.com/search?q=WIZIO+LYON,https://news.google.com/search?hl=fr&q=%22WIZIO%22,https://www.linkedin.com/search/results/companies/?keywords=WIZIO,https://www.linkedin.com/search/results/people/?keywords=ATOMIC+FINANCES+WIZIO,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=WIZIO&ou=LYON,https://www.societe.com/cgi-bin/search?champs=530294735,https://fr.trustpilot.com/review/wizio.fr,,wizio.fr,6-9,2023,PME,2,4,,354439,,758,2023,15,2011-02-01,SAS,WIZIO,WIZIO,,non,non,ESS,1486,FR21530294735,active,,530294735,53029473500044,62.01Z,TOUR DE LA PART-DIEU 129 RUE SERVIENT 69003 LYON,45.7608887599511,4.85389869294602,site,non,,,oui,oui,2026-08-01,sirene,LYON
